q_id,q_string,top_20_vss_array,ground_truths_array,ground_truths_missed_array,total_answers,retrieved_count,missed_count,recall@20,recall@50,hit@1,hit@5,mrr
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,"[527898, 812842, 594882, 895326, 561829, 235305, 329989, 533393, 375117, 527894, 179742, 561964, 726219, 868735, 94985, 528597, 932509, 894726, 540778, 318908, 821724, 713209, 377954, 894727, 733116, 550602, 932511, 635008, 534937, 922228, 938280, 437327, 798205, 399637, 646894, 564291, 744255, 939895, 783637, 236432, 941806, 532263, 780473, 487538, 591773, 793382, 238912, 894730, 894732, 358047]","[252580, 678406, 673894, 315207, 803436, 829965, 236432, 236436, 528597, 946647, 789465, 270718, 799551]","[252580, 673894, 315207, 678406, 803436, 829965, 236436, 946647, 789465, 270718, 799551]",13,2,11,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0625
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.","[357427, 357424, 724624, 202691, 129644, 951034, 300586, 672637, 734412, 668891, 601135, 724608, 698916, 724597, 161204, 512469, 445690, 578490, 868702, 428693, 247225, 239048, 501373, 937036, 761802, 868710, 619325, 180989, 110549, 379054, 868724, 269784, 724601, 447719, 734416, 357451, 824899, 474741, 410525, 696646, 689544, 302899, 680632, 191088, 447660, 680630, 359945, 791193, 277012, 702471]","[357424, 357427, 239048]",[],3,3,0,1.0,1.0,1.0,1.0,1.0
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,"[329266, 449773, 656785, 449242, 449770, 383870, 12358, 656762, 20030, 353368, 746839, 455530, 745440, 48448, 7718, 724064, 219119, 871306, 724066, 865946, 950009, 532307, 744749, 19588, 938137, 236389, 922844, 435546, 68825, 197244, 783889, 750327, 817774, 871298, 766080, 454007, 70317, 677104, 383885, 197242, 897484, 921321, 724061, 791297, 919120, 54357, 949997, 355294, 22227, 503748]","[329266, 449773]",[],2,2,0,1.0,1.0,1.0,1.0,1.0
8633,I'm looking for a swim training snorkel that has a noticeable difference in fit with and without a swimming cap. The one I currently have always needs tape to keep it steady. Any suggestions?,"[577437, 650564, 900463, 340814, 644938, 577438, 91581, 91582, 178081, 453118, 258312, 577447, 840022, 594260, 99678, 707257, 65374, 599336, 32448, 33436, 693194, 768432, 825269, 110954, 91550, 477826, 29295, 538047, 477827, 453114, 900107, 764191, 203960, 723350, 50701, 793262, 453122, 91566, 17083, 336013, 225142, 453116, 809774, 122640, 440210, 477832, 238924, 437780, 192738, 356716]","[123457, 269738, 900107, 577437, 900463, 825269, 91547, 91581]","[123457, 269738, 91547]",8,5,3,0.625,0.625,1.0,1.0,1.0
8973,Can you recommend any UP100 marine hardware suitable for a 25.4mm pipe to use on my boat?,"[583919, 944753, 936234, 218010, 53596, 568509, 53554, 849221, 814667, 535960, 739861, 53625, 20401, 74038, 701850, 772146, 838936, 856501, 666039, 62830, 772149, 53661, 838494, 101109, 905712, 812163, 717046, 889033, 736452, 283576, 536049, 501419, 74089, 794648, 536041, 35847, 303784, 896842, 35776, 669352, 529564, 142735, 786549, 131099, 451088, 53597, 6304, 38257, 207885, 62458]",[944753],[],1,1,0,1.0,1.0,0.0,1.0,0.5
3478,"What are some lightweight running socks suitable for a St. Patrick's Day marathon, weighing around 2.4 ounces for shipping?","[762442, 314219, 518614, 660652, 518611, 594330, 797661, 919261, 8200, 478693, 897994, 384482, 660644, 859811, 590964, 374584, 643557, 660624, 575371, 660649, 693767, 859816, 612812, 53497, 384485, 612791, 206740, 678015, 713745, 713744, 453371, 660616, 684984, 300431, 782877, 467823, 313110, 814856, 375835, 713746, 653028, 653033, 274466, 689650, 206888, 216318, 362358, 684985, 660681, 214372]","[529849, 314219, 660644]",[529849],3,2,1,0.6666666666666666,0.6666666666666666,0.0,1.0,0.5
3370,Where can I find Beyond Yoga leggings for women?,"[494501, 827256, 861378, 565786, 741686, 411016, 716226, 53127, 577847, 826629, 405818, 826623, 667088, 759470, 699195, 187128, 512682, 861392, 826619, 152215, 759471, 565785, 861377, 741676, 53105, 741683, 877014, 861379, 577243, 453207, 302282, 759468, 861393, 72479, 187122, 741687, 826624, 861383, 877013, 289010, 530725, 293476, 459349, 167681, 650161, 469828, 497896, 341617, 604159, 741688]",[302282],[],1,1,0,1.0,1.0,0.0,0.0,0.03225806451612903
2135,"Can you suggest a CHAMPRO basketball rack that's easy to assemble? I already own the BSN Compact Ball Locker and the Baden Steel rack, so I'm not interested in similar items.","[202061, 166137, 138080, 116240, 905009, 653, 693009, 408577, 34035, 746794, 58365, 16967, 16982, 13517, 245291, 60291, 58185, 436565, 2428, 50239, 258858, 141615, 883097, 89614, 13500, 67803, 337577, 41840, 28910, 140329, 438470, 130656, 50115, 211059, 486084, 159038, 141581, 943749, 285294, 51256, 914366, 50215, 612007, 338613, 601224, 175171, 10409, 865165, 338296, 775731]","[166137, 202061, 693009]",[],3,3,0,1.0,1.0,1.0,1.0,1.0
291,Can you suggest a digital compass with dual alarms available on Amazon?,"[4431, 8973, 220774, 338351, 428035, 82745, 861, 362753, 197176, 842644, 301431, 464497, 107349, 836229, 217784, 831325, 15337, 310762, 519498, 526284, 555555, 197833, 496, 219817, 18854, 537664, 874656, 50643, 366092, 597799, 19966, 95187, 189652, 197023, 953515, 385777, 645285, 34080, 574949, 736656, 562508, 71054, 688083, 779512, 634255, 68771, 501307, 458302, 70316, 434]","[240258, 8973, 71054, 573981, 34080, 43049, 553897, 338351, 299198, 26828, 4431, 50643, 40663, 600028, 861, 220774, 13034, 679028, 629, 578557]","[240258, 43049, 553897, 13034, 26828, 578557, 679028, 629, 40663, 600028, 573981, 299198]",20,8,12,0.4,0.4,1.0,1.0,1.0
8215,"What are some lightweight, around 7 ounces, Red Plume men's compression sports shirts suitable for various types of workouts?","[917596, 895065, 854442, 852704, 854117, 854429, 917586, 852624, 854432, 918556, 854076, 852683, 854430, 820392, 854367, 895026, 852765, 852762, 854904, 852766, 852768, 865226, 928316, 894966, 852543, 817599, 758428, 900243, 854116, 817587, 494760, 906924, 896800, 280941, 836678, 879711, 936458, 900204, 494761, 450194, 923873, 897842, 768580, 791635, 912022, 794013, 932501, 910250, 779489, 949284]","[852768, 906924, 854367]",[],3,3,0,1.0,1.0,0.0,0.0,0.06666666666666667
