id,query,entities,relations
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,"{
  ""A"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""carabiner clip keychain""},
    ""semantic"": [""high-quality"", ""around 7 inches long""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""high-quality carabiner clip keychain"", ""around 7 inches long""],
    ""constant"": false
  }
}","{
(""ANSWER"", ""A""): [""also_buy"", ""also_view""]
}"
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.","{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Outerstuff""},
    ""semantic"": [""Outerstuff brand""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""category""],
    ""lexical"": {""name"": ""T-shirt""},
    ""semantic"": [""youth T-shirt"", ""NHL""],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""brand"", ""category""],
    ""lexical"": {""name"": ""NHL""},
    ""semantic"": [""NHL""],
    ""constant"": true
  },
  ""D"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Boston Bruins""},
    ""semantic"": [""Boston Bruins""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL"", ""with a shipping weight around 6.4 ounces""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""has_brand""],
  (""ANSWER"", ""B""): [""has_category""],
  (""ANSWER"", ""C""): [""has_brand"", ""has_category""],
  (""ANSWER"", ""D""): [""has_brand""]
}"
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,"{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Outlander""},
    ""semantic"": [""Outlander internal frame camping backpack""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""category""],
    ""lexical"": {""name"": ""backpack""},
    ""semantic"": [""internal frame camping backpack""],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""color""],
    ""lexical"": {},
    ""semantic"": [""not particular about the color""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""Outlander internal frame camping backpack""},
    ""semantic"": [""Outlander internal frame camping backpack"", ""multiple internal and external pockets"", ""convenient access to accessories""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""has_brand""],
  (""ANSWER"", ""B""): [""has_category""],
  (""ANSWER"", ""C""): [""has_color""]
}"
8633,I'm looking for a swim training snorkel that has a noticeable difference in fit with and without a swimming cap. The one I currently have always needs tape to keep it steady. Any suggestions?,"{
  ""A"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""swim training snorkel""},
    ""semantic"": [""swim training snorkel that has a noticeable difference in fit with and without a swimming cap""],
    ""constant"": false
  },
  ""B"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""swimming cap""},
    ""semantic"": [""swimming cap""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""swim training snorkel that has a noticeable difference in fit with and without a swimming cap"", ""does not need tape to keep it steady""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""also_buy"", ""also_view""],
  (""ANSWER"", ""B""): [""also_buy"", ""also_view""]
}"
8973,Can you recommend any UP100 marine hardware suitable for a 25.4mm pipe to use on my boat?,"{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""UP100""},
    ""semantic"": [""UP100 marine hardware""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""category""],
    ""lexical"": {""name"": ""marine hardware""},
    ""semantic"": [""marine hardware for a boat""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""suitable for a 25.4mm pipe"", ""for use on a boat""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""UP100 marine hardware"", ""suitable for a 25.4mm pipe"", ""for use on a boat""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""has_brand""],
  (""ANSWER"", ""B""): [""has_category""],
  (""C"", ""A""): [""has_brand""],
  (""C"", ""B""): [""has_category""]
}"
3478,"What are some lightweight running socks suitable for a St. Patrick's Day marathon, weighing around 2.4 ounces for shipping?","{
  ""A"": {
    ""type"": [""category"", ""product""],
    ""lexical"": {""name"": ""running socks""},
    ""semantic"": [""lightweight"", ""for a St. Patrick's Day marathon""],
    ""constant"": false
  },
  ""B"": {
    ""type"": [""brand""],
    ""lexical"": {},
    ""semantic"": [""St. Patrick's Day""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""lightweight running socks""},
    ""semantic"": [""suitable for a St. Patrick's Day marathon"", ""weighing around 2.4 ounces for shipping""],
    ""constant"": false
  }
}","{
(""ANSWER"", ""A""): [""also_buy"", ""also_view"", ""has_category""],
(""ANSWER"", ""B""): [""has_brand""]
}"
3370,Where can I find Beyond Yoga leggings for women?,"{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Beyond Yoga""},
    ""semantic"": [""Beyond Yoga""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""category""],
    ""lexical"": {""name"": ""leggings""},
    ""semantic"": [""leggings for women""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {},
    ""semantic"": [""Beyond Yoga leggings for women""],
    ""constant"": false
  }
}","{
(""ANSWER"", ""A""): [""has_brand""],
(""ANSWER"", ""B""): [""has_category""]
}"
2135,"Can you suggest a CHAMPRO basketball rack that's easy to assemble? I already own the BSN Compact Ball Locker and the Baden Steel rack, so I'm not interested in similar items.","{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""CHAMPRO""},
    ""semantic"": [""CHAMPRO basketball rack""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""brand"", ""product""],
    ""lexical"": {""name"": ""BSN Compact Ball Locker""},
    ""semantic"": [""similar items to BSN Compact Ball Locker""],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""brand"", ""product""],
    ""lexical"": {""name"": ""Baden Steel rack""},
    ""semantic"": [""similar items to Baden Steel rack""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""CHAMPRO basketball rack""},
    ""semantic"": [""CHAMPRO basketball rack that's easy to assemble"", ""not similar to BSN Compact Ball Locker"", ""not similar to Baden Steel rack""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""has_brand""],
  (""ANSWER"", ""B""): [""also_buy""],
  (""ANSWER"", ""C""): [""also_buy""]
}"
291,Can you suggest a digital compass with dual alarms available on Amazon?,"{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Amazon""},
    ""semantic"": [""available on Amazon""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""digital compass""},
    ""semantic"": [""digital compass with dual alarms"", ""available on Amazon""],
    ""constant"": false
  }
}","{""(""ANSWER"", ""A"")"": [""has_brand""]}"
8215,"What are some lightweight, around 7 ounces, Red Plume men's compression sports shirts suitable for various types of workouts?","{
  ""A"": {
    ""type"": [""brand""],
    ""lexical"": {""name"": ""Red Plume""},
    ""semantic"": [""Red Plume""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""color""],
    ""lexical"": {},
    ""semantic"": [""Red""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""product""],
    ""lexical"": {""name"": ""men's compression sports shirts""},
    ""semantic"": [""lightweight"", ""around 7 ounces"", ""Red Plume men's compression sports shirts"", ""suitable for various types of workouts""],
    ""constant"": false
  }
}","{
  (""ANSWER"", ""A""): [""has_brand""],
  (""ANSWER"", ""B""): [""has_color""]
}"
