query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
6418,Looking for recommendations on a Terramar men's pullover jacket that would be ideal for layering.,17,14,3,0.8235294117647058,0.8235294117647058,1.0,1.0,1.0,0.5882352941176471
514,What tennis string set can I try that feels like the classic synthetic gut but has new features such as enhanced stringbed responsiveness?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
166,Can you suggest an Australian saddle with a rawhide braided horn suitable for a quarterhorse with a wider tree?,2,0,2,0.0,0.0,0.0,0.0,0.0,1.0
6604,"Is there an adjustable, comfortable cotton twill cap available that commemorates the San Francisco Giants' 2014 World Series victory?",8,0,8,0.0,0.0,0.0,0.0,0.0,0.375
3525,"Looking for large basketball crew socks similar to Nike Lebron Elite Basketball Crew Socks, suitable for someone with sensory issues. Any recommendations?",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1899,"Looking for a Flair Hair novelty visor that's both hilarious and easy to maintain. It should be fun to wear at concerts and festivals, but not uncomfortable.",2,2,0,1.0,1.0,0.0,1.0,0.5,1.0
4166,"Can you find me a top-rated bike trailer that's easy to assemble, has a sturdy parking brake, and ideally comes with a water-resistant all-weather cover?",13,4,9,0.3076923076923077,0.3076923076923077,1.0,1.0,1.0,0.23076923076923078
3122,What other swimming goggles can I pair with my Arena Cobra Ultra Swim Goggles for indoor swimming? I need to find an alternative as the current pair isn't meeting my needs. Any recommendations?,3,1,2,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333
5800,Looking for high-end PU material boxing gloves with a comfortable fit and excellent performance. Should they also have triple density foam for optimal shock absorption?,9,3,6,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.4444444444444444
3211,Are there any all-mountain Blue House skis known for their exceptional turning capability?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
161,Are there any javelins designed by elite athletes that meet the 2006 NFHS & IAAF standards?,4,0,4,0.0,0.0,0.0,0.0,0.0,0.5
1330,Is there a Health Hoop hula hoop that is suitable for both adults and children?,6,6,0,1.0,1.0,1.0,1.0,1.0,1.0
265,What's a good medium-sized camouflage rucksack suitable for hiking and camping activities?,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0
2590,"Looking for Simms fishing shoes that are completely waterproof and suitable for party wear. They must have a bigger toe box, as I had issues with tight toe areas in the past.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4664,"Are there any easy-to-use EWG weighted fishing hooks that are suitable for both experienced and beginner anglers? Ideally, they should come in a pack of 5.",6,0,6,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2099,"Can you help me find a retro-styled handbag with an MLB team theme, made from sporty, perforated PVC fabric?",10,0,10,0.0,0.0,0.0,0.0,0.0,0.5
402,Is there a gun lubricant similar to the Slip 2000 Gun Lube 16oz. Trigger Spray that also performs well in various environments?,14,10,4,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143
7366,"Looking for customizable silicone pint glasses in multiple sizes and designs. They need to be dishwasher and microwave safe, as I am considering these as potential presents for friends.",19,0,19,0.0,0.0,0.0,0.0,0.0,0.3157894736842105
8534,"Sure, I need a pool, billiards, and snooker cue rest set with a smooth finish to protect both cues and the table cloth. It should have a threaded end to attach to a pole. Can you recommend one?",3,0,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
4556,"Is there a Traser watch model that's durable, less bulky, and comes with a scratch-resistant sapphire crystal face and a minimum 3-year warranty?",3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
1846,Searching for an MLB team logo crystal ring set with combined width of approximately half an inch. It's important that the rings prominently feature my preferred team's logo. Can you assist?,6,0,6,0.0,0.0,0.0,0.0,0.0,0.5
