id,query,entities,relations
6517,Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,"{
  ""A"": {
    ""type"": [""drug""],
    ""lexical"": {""name"": ""Travoprost""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""gene/protein""],
    ""lexical"": {},
    ""semantic"": [""influenced by the medication Travoprost""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""cellular_component""],
    ""lexical"": {},
    ""semantic"": [""involved in interaction with genes or proteins""],
    ""constant"": false
  }
}","{
  (""A"", ""B""): [""target"", ""transporter"", ""enzyme""],
  (""B"", ""ANSWER""): [""interacts with""]
}"
9996,Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,"{
  ""A"": {
    ""type"": [""anatomy""],
    ""lexical"": {""name"": ""pericardium""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""anatomy""],
    ""lexical"": {""name"": ""dorsal region of the thalamus""},
    ""semantic"": [],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""anatomy""],
    ""lexical"": {""name"": ""ventral region of the thalamus""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""gene/protein""],
    ""lexical"": {},
    ""semantic"": [
      ""expressed exclusively in the pericardium"",
      ""not expressed in the dorsal region of the thalamus"",
      ""not expressed in the ventral region of the thalamus""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""expression present""],
(""B"", ""ANSWER""): [""expression absent""],
(""C"", ""ANSWER""): [""expression absent""]
}"
3630,Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,"{
  ""A"": {
    ""type"": [""disease""],
    ""lexical"": {""name"": ""beriberi""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""drug""],
    ""lexical"": {""name"": ""Zopiclone""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""drug""],
    ""lexical"": {},
    ""semantic"": [
      ""effective for treating beriberi"",
      ""safe to use with Zopiclone""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""indication""],
(""B"", ""ANSWER""): [""synergistic interaction""]
}"
10252,Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,"{
  ""A"": {
    ""type"": [""gene/protein"", ""molecular_function""],
    ""lexical"": {""name"": ""PI3K""},
    ""semantic"": [""regulatory component""],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""gene/protein"", ""molecular_function""],
    ""lexical"": {""name"": ""FGFR1c""},
    ""semantic"": [""pathway"", ""signal transduction""],
    ""constant"": true
  },
  ""C"": {
    ""type"": [""gene/protein"", ""molecular_function""],
    ""lexical"": {""name"": ""Klotho""},
    ""semantic"": [""complex"", ""signal transduction""],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""gene/protein""],
    ""lexical"": {},
    ""semantic"": [
      ""responsible for coding the regulatory component of PI3K"",
      ""engage with elements of the pathways for FGFR1c and Klotho complex signal transduction""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""associated with"", ""interacts with""],
(""B"", ""ANSWER""): [""interacts with""],
(""C"", ""ANSWER""): [""interacts with""],
(""A"", ""B""): [""interacts with""],
(""A"", ""C""): [""interacts with""],
(""B"", ""C""): [""interacts with""]
}"
5142,Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,"{
  ""A"": {
    ""type"": [""anatomy""],
    ""lexical"": {""name"": ""breast tissue""},
    ""semantic"": [""supernumerary""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""disease""],
    ""lexical"": {},
    ""semantic"": [
      ""autosomal dominant"",
      ""linked to the development of supernumerary breast tissue""
    ],
    ""constant"": false
  }
}","{""(A"", ""ANSWER"")"": [""linked to""]}"
1755,"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.","{
  ""A"": {
    ""type"": [""biological_process""],
    ""lexical"": {""name"": ""hyaluronan absorption and breakdown""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""biological_process""],
    ""lexical"": {},
    ""semantic"": [
      ""metabolic process"",
      ""precedes or follows hyaluronan absorption and breakdown"",
      ""involved in hyaluronan metabolism"",
      ""involved in signaling cascades""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""interacts with"", ""parent-child""]
}"
5686,Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,"{
  ""A"": {
    ""type"": [""anatomy""],
    ""lexical"": {""name"": ""clathrin""},
    ""semantic"": [],
    ""constant"": true
  },
  ""B"": {
    ""type"": [""gene/protein""],
    ""lexical"": {""name"": ""FAT3""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""gene/protein""],
    ""lexical"": {},
    ""semantic"": [
      ""bind to clathrin"",
      ""interact with the FAT3 protein""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""associated with"", ""interacts with""],
(""B"", ""ANSWER""): [""interacts with"", ""ppi""],
(""A"", ""B""): [""interacts with""]
}"
7969,Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,"{
  ""A"": {
    ""type"": [""molecular_function""],
    ""lexical"": {""name"": ""7-methylguanosine cap hypermethylation""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""biological_process""],
    ""lexical"": {},
    ""semantic"": [
      ""shares a similar interaction pattern with genes or proteins"",
      ""to that of 7-methylguanosine cap hypermethylation""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""interacts with""]
}"
6641,"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?","{
  ""A"": {
    ""type"": [""drug""],
    ""lexical"": {},
    ""semantic"": [""specified medication"", ""acts on genes or proteins"", ""role in signaling pathways of blood clotting receptors""],
    ""constant"": false
  },
  ""B"": {
    ""type"": [""biological_process"", ""pathway""],
    ""lexical"": {},
    ""semantic"": [""signaling pathways of blood clotting receptors"", ""protein tyrosine kinase activator activity""],
    ""constant"": false
  },
  ""C"": {
    ""type"": [""gene/protein"", ""molecular_function""],
    ""lexical"": {},
    ""semantic"": [""play a role in signaling pathways"", ""protein tyrosine kinase activator activity""],
    ""constant"": false
  },
  ""D"": {
    ""type"": [""medical condition"", ""disease""],
    ""lexical"": {},
    ""semantic"": [""importance of anticoagulation"", ""specific medical conditions""],
    ""constant"": false
  },
  ""ANSWER"": {
    ""type"": [""effect/phenotype""],
    ""lexical"": {},
    ""semantic"": [""information on whether the specified medication acts on genes or proteins"", ""role in signaling pathways of blood clotting receptors""],
    ""constant"": false
  }
}","{
(""A"", ""C""): [""target"", ""carrier"", ""transporter"", ""enzyme""],
(""A"", ""B""): [""interacts with""],
(""C"", ""B""): [""interacts with"", ""parent-child""],
(""C"", ""D""): [""associated with""],
(""B"", ""D""): [""linked to""],
(""A"", ""D""): [""indication"", ""contraindication"", ""off-label use""],
(""C"", ""ANSWER""): [""associated with"", ""phenotype present"", ""phenotype absent""],
(""D"", ""ANSWER""): [""phenotype present"", ""phenotype absent""]
}"
10271,Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,"{
  ""A"": {
    ""type"": [""drug"", ""gene/protein""],
    ""lexical"": {""name"": ""Pegaspargase""},
    ""semantic"": [],
    ""constant"": true
  },
  ""ANSWER"": {
    ""type"": [""drug""],
    ""lexical"": {},
    ""semantic"": [
      ""shares a similar gene or protein carrier with Pegaspargase"",
      ""indicated for the treatment of neurological conditions""
    ],
    ""constant"": false
  },
  ""B"": {
    ""type"": [""anatomy""],
    ""lexical"": {},
    ""semantic"": [
      ""neurological conditions""
    ],
    ""constant"": false
  }
}","{
(""A"", ""ANSWER""): [""carrier""],
(""A"", ""B""): [],
(""ANSWER"", ""B""): [""indication""]
}"
