query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
6457,"Could you provide a list of disorders characterized by both an absence of approved medications and a connection to atypical cardiac structures, which also result in skin that is prone to blistering and tearing with minimal trauma?",1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
2354,"What related conditions or potential diseases might be associated with ""benign neoplasm of hard palate"" and ""oral cavity neoplasm""? Can you provide a hierarchy or connections of these illnesses?",1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
10857,Which genes or proteins are found to be expressed in cartilage but not detected in the parietal lobe of the brain?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
6655,Which anatomical structures lack the genetic or proteomic expression linked to infertility?,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
6280,Which pharmaceutical compounds are designed to modulate gene or protein activities associated with SUMO-conjugation system interactions?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7718,Which anatomical structures lack the expression of genes or proteins involved in the interaction with the formation of the endoplasmic reticulum's tubular network?,2,2,0,1.0,1.0,0.0,1.0,0.5,1.0
1152,"Please find the gene associated with multiple sclerosis pathogenesis that codes for a receptor on antigen-presenting cells, essential for various immune and inflammatory responses.",5,2,3,0.4,0.4,1.0,1.0,1.0,0.2
7918,Find health conditions linked to Fatty Acid Binding Protein 2 (FABP2) that should not be managed with the use of Oxymorphone.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
233,"What is the name of the gene or protein that binds with molecules involved in protein binding, attaches to protein C-termini, contributes to pore complex assembly, and modulates ion transport across membranes in host-pathogen interactions?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
5649,"Is my joint pain, stiffness, and swelling indicative of a hereditary vascular condition?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2152,"Could you provide information on hereditary diseases associated with bladder stone formation? My mother previously experienced bladder issues, and I'm concerned about the familial risk.",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
7287,Which cellular structures or organelles are associated with the interaction of genes or proteins affected by Thonzonium Bromide?,8,8,0,1.0,1.0,1.0,1.0,1.0,1.0
10604,Which cellular structures engage with the genetic elements or proteins affected by the actions of D-Eritadenine?,5,5,0,1.0,1.0,1.0,1.0,1.0,1.0
2045,"Please find a pathway that falls under the Defensins hierarchy, involves antimicrobial protein functions, and is externally peer-reviewed.",3,3,0,1.0,1.0,0.0,1.0,0.5,1.0
5992,Is there evidence to suggest that the gene or protein responsible for organic cation transport also facilitates the translocation of pharmaceuticals that exhibit synergistic effects when combined with Sulfathiazole?,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0
7490,Which neonatal gastrointestinal illness resulting in severe intestinal harm and necrosis should not be treated with medication typically prescribed for Pasteurella multocida due to contraindications?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7168,Which illness leading to cerebral infarction would render medications for prolactin-secreting pituitary tumors inadvisable?,4,0,4,0.0,0.0,0.0,0.0,0.0,0.5
9133,Identify a gene or protein with the capability to interact with FOXC1 and shares an association with a similar effect or phenotype.,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
2635,"Could you recommend a medication designed for Laron syndrome, specifically a synthetic version of the human insulin-like growth factor 1?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
5820,"Identify the common genetic targets that interact with both 3',5'-Dinitro-N-Acetyl-L-Thyronine and 3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
