id,query,ground_truths,status,entities,relations,results,grounding_candidates,vss_merged_candidates
793,Are there any studies from the University of Lausanne focusing on a new frameless stereotactic technology in the context of Ionization chamber?,[1721325],IN_PROGRESS,"{""A"": {""type"": [""institution""], ""lexical"": {""name"": ""University of Lausanne""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""Ionization chamber""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""frameless stereotactic technology""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""studies"", ""new frameless stereotactic technology"", ""context of Ionization chamber""], ""constant"": false}}","{('A', 'ANSWER'): ['author___affiliated_with___institution'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}","{'answer_list': [1519858, 1512156, 1431691, 1410866, 1667317, 1475512, 1500721, 1203065, 1293456, 1698528, 1517239, 1679471, 1249166, 1274210, 1288801, 1217740, 1268067, 1608377, 1537266, 1468357], 'answer_set': {1431691, 1249166, 1293456, 1500721, 1410866, 1517239, 1475512, 1608377, 1468357, 1217740, 1512156, 1698528, 1288801, 1274210, 1268067, 1679471, 1519858, 1537266, 1667317, 1203065}, 'ground_truth_set': {1721325}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1721325}, 'metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1519858, 1512156, 1431691, 1410866, 1667317, 1475512, 1500721, 1203065, 1293456, 1698528, 1517239, 1679471, 1249166, 1274210, 1288801, 1217740, 1268067, 1608377, 1537266, 1468357]","[1519858, 1512156, 1431691, 1410866, 1667317, 1475512, 1500721, 1203065, 1293456, 1698528, 1517239, 1679471, 1672554, 1798501, 1226514, 1480283, 1645958, 1582867, 1852163, 1298631]"
7777,"Can you find more publications from the authors of ""Circular dichroism of a tilted U-shaped nanostructure"" that introduce novel metamaterials to manipulate optical transmission asymmetry?","[1690034, 1802778, 1761399]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Circular dichroism of a tilted U-shaped nanostructure""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""authors of Circular dichroism of a tilted U-shaped nanostructure""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""novel metamaterials"", ""optical transmission asymmetry""], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications from the authors of Circular dichroism of a tilted U-shaped nanostructure"", ""introduce novel metamaterials to manipulate optical transmission asymmetry""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}","{'answer_list': [1733387, 1328470, 1802778, 1350660, 1698062, 1762515, 1464104, 1761399, 1177183, 1595179, 1296398, 1477142, 1303415, 1843282, 1589868, 1476227, 1372274, 1675898, 1577040, 1775439], 'answer_set': {1476227, 1350660, 1733387, 1698062, 1296398, 1477142, 1802778, 1464104, 1595179, 1775439, 1577040, 1843282, 1762515, 1328470, 1761399, 1177183, 1589868, 1372274, 1303415, 1675898}, 'ground_truth_set': {1690034, 1802778, 1761399}, 'retrieved_ground_truths': {1802778, 1761399}, 'missed_ground_truths': {1690034}, 'metrics': {'total_answers': 3, 'retrieved_count': 2, 'missed_count': 1, 'recall@50': 0.6666666666666666, 'recall@20': 0.6666666666666666, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.3333333333333333}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 3, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.3333333333333333}}","[1733387, 1328470, 1802778, 1350660, 1698062, 1762515, 1464104, 1761399, 1177183, 1595179, 1296398, 1477142, 1303415, 1843282, 1589868, 1476227, 1372274, 1675898, 1577040, 1775439]","[1733387, 1328470, 1802778, 1350660, 1698062, 1762515, 1464104, 1761399, 1177183, 1595179, 1296398, 1477142, 1704983, 1690034, 1190679, 1755409, 1772334, 1420375, 1455719, 1549822]"
2493,Are there any publications by Omsk State Transport University scholars on errors in Kramers' nuclear fission formulas?,"[1258081, 1456971, 1242857]",IN_PROGRESS,"{""A"": {""type"": [""institution""], ""lexical"": {""name"": ""Omsk State Transport University""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""Omsk State Transport University scholars""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""Kramers' nuclear fission formulas""}, ""semantic"": [""errors in Kramers' nuclear fission formulas""], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications by Omsk State Transport University scholars on errors in Kramers' nuclear fission formulas""], ""constant"": false}}","{('B', 'A'): ['author___affiliated_with___institution'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}","{'answer_list': [1808850, 1503626, 1263885, 1393209, 1395094, 1353420, 1293977, 1459587, 1764759, 1524416, 1553055, 1685119, 1180287, 1243824, 1261238, 1391931, 1301996, 1559903, 1274296, 1287293], 'answer_set': {1459587, 1503626, 1263885, 1180287, 1395094, 1764759, 1293977, 1553055, 1243824, 1261238, 1274296, 1393209, 1391931, 1524416, 1353420, 1808850, 1559903, 1301996, 1287293, 1685119}, 'ground_truth_set': {1258081, 1456971, 1242857}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1258081, 1456971, 1242857}, 'metrics': {'total_answers': 3, 'retrieved_count': 0, 'missed_count': 3, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 3, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.07692307692307693}}","[1808850, 1503626, 1263885, 1393209, 1395094, 1353420, 1293977, 1459587, 1764759, 1524416, 1553055, 1685119, 1180287, 1243824, 1261238, 1391931, 1301996, 1559903, 1274296, 1287293]","[1808850, 1503626, 1263885, 1393209, 1395094, 1353420, 1293977, 1459587, 1764759, 1524416, 1553055, 1685119, 1258081, 1456971, 1242857, 1404114, 1397178, 1318228, 1253184, 1281458]"
1682,"Find publications by coauthors of ""Thompson scattering in high-intensity chirped laser pulses"" which also explore the impact of spin on magnetic fields.","[1615103, 1453412, 1604165, 1242825, 1507153, 1187933, 1352251, 1220125, 1269503]",IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Thompson scattering in high-intensity chirped laser pulses""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""coauthors of Thompson scattering in high-intensity chirped laser pulses""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {}, ""semantic"": [""impact of spin on magnetic fields""], ""constant"": false}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications by coauthors of Thompson scattering in high-intensity chirped laser pulses"", ""explore the impact of spin on magnetic fields""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}","{'answer_list': [1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1625275, 1434234, 1394896, 1558467, 1763323, 1746728, 1447155, 1476646], 'answer_set': {1418755, 1735838, 1476646, 1502887, 1330600, 1746728, 1270579, 1737400, 1818809, 1625275, 1199554, 1558467, 1394896, 1215466, 1345521, 1447155, 1434234, 1763323, 1391484, 1680381}, 'ground_truth_set': {1220125, 1453412, 1604165, 1242825, 1507153, 1269503, 1352251, 1187933, 1615103}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1220125, 1453412, 1604165, 1242825, 1507153, 1269503, 1352251, 1187933, 1615103}, 'metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 9, 'retrieved_count': 0, 'missed_count': 9, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1625275, 1434234, 1394896, 1558467, 1763323, 1746728, 1447155, 1476646]","[1345521, 1330600, 1818809, 1270579, 1680381, 1735838, 1737400, 1502887, 1215466, 1418755, 1199554, 1391484, 1257725, 1414489, 1275908, 1627825, 1795253, 1393933, 1332462, 1535200]"
7275,"Can you locate 2015 papers that compare photodetectors, which are referenced in ""A systematic characterization of the low-energy photon response of plastic scintillation detectors""?",[1215341],IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""A systematic characterization of the low-energy photon response of plastic scintillation detectors""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""photodetectors""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""2015"", ""compare photodetectors"", ""referenced in A systematic characterization of the low-energy photon response of plastic scintillation detectors""], ""constant"": false}}","{('A', 'ANSWER'): ['paper___cites___paper'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study'], ('A', 'B'): ['paper___has_topic___field_of_study']}","{'answer_list': [1215341, 1503372, 1709995, 1500248, 1839488, 1314316, 1822623, 1355882, 1493005, 1234984, 1400063, 1487602, 1830752, 1804639, 1252198, 1691439, 1266282, 1374745, 1615518, 1376826], 'answer_set': {1839488, 1503372, 1314316, 1493005, 1374745, 1615518, 1822623, 1234984, 1709995, 1691439, 1376826, 1500248, 1804639, 1830752, 1252198, 1355882, 1266282, 1215341, 1487602, 1400063}, 'ground_truth_set': {1215341}, 'retrieved_ground_truths': {1215341}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[1215341, 1503372, 1709995, 1500248, 1839488, 1314316, 1822623, 1355882, 1493005, 1234984, 1400063, 1487602, 1830752, 1804639, 1252198, 1691439, 1266282, 1374745, 1615518, 1376826]","[1215341, 1503372, 1709995, 1500248, 1839488, 1314316, 1822623, 1355882, 1493005, 1234984, 1400063, 1487602, 1691439, 1222345, 1266282, 1376826, 1761023, 1686974, 1555306, 1615518]"
1920,Show me publications by B. Spruck focusing on hyperon production research.,[1422385],IN_PROGRESS,"{""A"": {""type"": [""author""], ""lexical"": {""name"": ""B. Spruck""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""hyperon production research""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications by B. Spruck"", ""hyperon production research""], ""constant"": false}}","{('A', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study']}","{'answer_list': [1700978, 1353459, 1372702, 1224224, 1189366, 1392891, 1654856, 1356828, 1811470, 1329531, 1505349, 1758061, 1669611, 1686326, 1278946, 1821664, 1722278, 1758095, 1276740, 1474673], 'answer_set': {1811470, 1758095, 1356828, 1372702, 1224224, 1722278, 1686326, 1276740, 1505349, 1654856, 1821664, 1278946, 1669611, 1758061, 1392891, 1474673, 1700978, 1353459, 1189366, 1329531}, 'ground_truth_set': {1422385}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {1422385}, 'metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[1700978, 1353459, 1372702, 1224224, 1189366, 1392891, 1654856, 1356828, 1811470, 1329531, 1505349, 1758061, 1669611, 1686326, 1278946, 1821664, 1722278, 1758095, 1276740, 1474673]","[1700978, 1353459, 1372702, 1224224, 1189366, 1392891, 1654856, 1356828, 1811470, 1329531, 1505349, 1758061, 1214715, 1863977, 1417253, 1669611, 1197742, 1287438, 1847325, 1437343]"
3587,Show me publications by P. A. Khilo related to beam generation.,"[1684106, 1478797]",IN_PROGRESS,"{""A"": {""type"": [""author""], ""lexical"": {""name"": ""P. A. Khilo""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""beam generation""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""publications by P. A. Khilo"", ""related to beam generation""], ""constant"": false}}","{('A', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study']}","{'answer_list': [1478797, 1684106, 1437354, 1247208, 1491392, 1328790, 1557350, 1521958, 1710944, 1382965, 1700842, 1547614, 1722627, 1212857, 1186361, 1753880, 1519900, 1832656, 1470944, 1787436], 'answer_set': {1722627, 1684106, 1478797, 1328790, 1753880, 1519900, 1521958, 1437354, 1787436, 1382965, 1186361, 1212857, 1491392, 1832656, 1547614, 1710944, 1470944, 1557350, 1247208, 1700842}, 'ground_truth_set': {1684106, 1478797}, 'retrieved_ground_truths': {1684106, 1478797}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 2, 'retrieved_count': 2, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 2, 'retrieved_count': 2, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[1478797, 1684106, 1437354, 1247208, 1491392, 1328790, 1557350, 1521958, 1710944, 1382965, 1700842, 1547614, 1722627, 1212857, 1186361, 1753880, 1519900, 1832656, 1470944, 1787436]","[1478797, 1684106, 1437354, 1247208, 1491392, 1328790, 1557350, 1521958, 1710944, 1382965, 1700842, 1547614, 1243668, 1184504, 1815899, 1197806, 1280773, 1477211, 1567617, 1599917]"
4318,Does any Optics literature from Yokogawa Electric talk about a record-breaking breakdown voltage for diamond field-effect transistors when they were published?,[1718820],IN_PROGRESS,"{""A"": {""type"": [""institution""], ""lexical"": {""name"": ""Yokogawa Electric""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""Optics""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""diamond field-effect transistors""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""record-breaking breakdown voltage"", ""Optics literature"", ""published""], ""constant"": false}}","{('A', 'ANSWER'): ['author___affiliated_with___institution'], ('B', 'ANSWER'): ['paper___has_topic___field_of_study'], ('C', 'ANSWER'): ['paper___has_topic___field_of_study']}","{'answer_list': [1718820, 1362258, 1301269, 1618826, 1804048, 1176931, 1467995, 1768989, 1787959, 1529686, 1522518, 1719412, 1530301, 1738370, 1704575, 1255369, 1221720, 1274332, 1179872, 1450508], 'answer_set': {1738370, 1618826, 1450508, 1804048, 1301269, 1768989, 1718820, 1787959, 1530301, 1255369, 1362258, 1529686, 1522518, 1221720, 1467995, 1274332, 1179872, 1176931, 1719412, 1704575}, 'ground_truth_set': {1718820}, 'retrieved_ground_truths': {1718820}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[1718820, 1362258, 1301269, 1618826, 1804048, 1176931, 1467995, 1768989, 1787959, 1529686, 1522518, 1719412, 1530301, 1738370, 1704575, 1255369, 1221720, 1274332, 1179872, 1450508]","[1718820, 1362258, 1301269, 1618826, 1804048, 1176931, 1467995, 1768989, 1787959, 1529686, 1522518, 1719412, 1792483, 1345530, 1224363, 1526632, 1829236, 1659367, 1772322, 1751255]"
4412,Does any research from Wheelock College delve into the study of offset bars in late-type galaxies in the discipline of Astrophysics?,[1748850],IN_PROGRESS,"{""A"": {""type"": [""institution""], ""lexical"": {""name"": ""Wheelock College""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""Astrophysics""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""late-type galaxies""}, ""semantic"": [], ""constant"": true}, ""D"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""offset bars""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper"", ""research""], ""lexical"": {}, ""semantic"": [""study of offset bars in late-type galaxies"", ""discipline of Astrophysics"", ""research from Wheelock College""], ""constant"": false}}","{('A', 'ANSWER'): ['author___affiliated_with___institution'], ('ANSWER', 'B'): ['paper___has_topic___field_of_study'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study'], ('ANSWER', 'D'): ['paper___has_topic___field_of_study']}","{'answer_list': [1748850, 1214294, 1182687, 1693726, 1209162, 1714605, 1212894, 1751769, 1216692, 1693619, 1764390, 1632994, 1647209, 1575424, 1783538, 1637675, 1619018, 1540763, 1223813, 1644718], 'answer_set': {1575424, 1223813, 1540763, 1693726, 1764390, 1637675, 1714605, 1644718, 1693619, 1216692, 1209162, 1619018, 1214294, 1751769, 1212894, 1182687, 1632994, 1647209, 1748850, 1783538}, 'ground_truth_set': {1748850}, 'retrieved_ground_truths': {1748850}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[1748850, 1214294, 1182687, 1693726, 1209162, 1714605, 1212894, 1751769, 1216692, 1693619, 1764390, 1632994, 1647209, 1575424, 1783538, 1637675, 1619018, 1540763, 1223813, 1644718]","[1748850, 1214294, 1182687, 1693726, 1209162, 1714605, 1212894, 1751769, 1216692, 1693619, 1764390, 1632994, 1600558, 1580300, 1389147, 1259327, 1575424, 1783538, 1811048, 1647209]"
7989,Show me papers published by co-authors of 'Will organic thermoelectrics get hot' that also explore the subject of magnetoplasmonic systems.,[1843745],IN_PROGRESS,"{""A"": {""type"": [""paper""], ""lexical"": {""title"": ""Will organic thermoelectrics get hot""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""author""], ""lexical"": {}, ""semantic"": [""co-authors of 'Will organic thermoelectrics get hot'""], ""constant"": false}, ""C"": {""type"": [""field_of_study""], ""lexical"": {""name"": ""magnetoplasmonic systems""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""paper""], ""lexical"": {}, ""semantic"": [""published by co-authors of 'Will organic thermoelectrics get hot'"", ""explore the subject of magnetoplasmonic systems""], ""constant"": false}}","{('B', 'A'): ['author___writes___paper'], ('B', 'ANSWER'): ['author___writes___paper'], ('ANSWER', 'C'): ['paper___has_topic___field_of_study']}","{'answer_list': [1862766, 1425263, 1622201, 1720355, 1293403, 1711827, 1382124, 1647858, 1843745, 1302902, 1238925, 1508650, 1225389, 1186839, 1696620, 1524514, 1449149, 1436738, 1228292, 1440005], 'answer_set': {1228292, 1440005, 1238925, 1186839, 1843745, 1524514, 1720355, 1508650, 1225389, 1622201, 1449149, 1436738, 1711827, 1293403, 1382124, 1696620, 1862766, 1425263, 1647858, 1302902}, 'ground_truth_set': {1843745}, 'retrieved_ground_truths': {1843745}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.1111111111111111}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.1111111111111111}}","[1862766, 1425263, 1622201, 1720355, 1293403, 1711827, 1382124, 1647858, 1843745, 1302902, 1238925, 1508650, 1225389, 1186839, 1696620, 1524514, 1449149, 1436738, 1228292, 1440005]","[1862766, 1425263, 1622201, 1720355, 1293403, 1711827, 1382124, 1647858, 1843745, 1302902, 1238925, 1508650, 1274860, 1422910, 1235110, 1778914, 1411935, 1469413, 1788225, 1777475]"
