id,ground_truths,query,original_answers,reranked_answers
6517,"[56241, 55842, 56174, 56263]",Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,"[56174, 56241, 56263, 55842, 56436, 56160, 125004, 56073, 55517, 125753, 124249, 56175, 56432, 127233, 125844, 125003, 125845, 56107, 55936, 55953]","[56263, 56436, 56175, 56174, 56241, 124249, 56073, 55842, 56432, 56160, 55517, 56107, 55953, 125004, 125753, 55936, 125845, 127233, 125003, 125844]"
9996,[10833],Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,"[61, 3387, 1403, 2773, 704, 10833, 2500, 1532, 13628, 3225, 13398, 652, 9724]","[61, 704, 10833, 3225, 1532, 652, 13628, 2500, 3387, 9724, 2773, 13398, 1403]"
3630,[15179],Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,"[14880, 20293, 15179, 15885, 20497, 14706, 14106, 14132, 20320]","[14880, 20293, 14132, 14706, 14106, 15179, 15885, 20497, 20320]"
10252,"[43, 2140]",Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,"[13070, 43, 1641, 150, 1332, 12380, 152, 2689, 33909, 6468, 2821, 799, 2036, 13271, 9004, 22000, 1687, 3960, 6494, 6005]","[1687, 43, 1641, 152, 22000, 2036, 13070, 799, 2821, 33909, 1332, 13271, 2689, 6468, 12380, 9004, 150, 3960, 6005, 6494]"
5142,[30638],Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,"[32617, 28347, 28240, 33525, 30670, 30894, 28346, 29934, 27680, 30516, 32339, 28086, 30978, 31798, 27714, 29050, 32616, 29322, 30463, 32337]","[32617, 28347, 28240, 28346, 28086, 30670, 30516, 29934, 33525, 30894, 30463, 30978, 29050, 27714, 31798, 27680, 32616, 32339, 32337, 29322]"
1755,[62592],"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.","[47408, 106871, 106670, 45556, 47288, 40864, 48983, 40488, 45126, 100813, 100733, 41134, 50160, 110220, 110219, 45341, 43715, 108543, 48335, 45352]","[106871, 47408, 106670, 40488, 40864, 100813, 47288, 100733, 45341, 45352, 48335, 50160, 45556, 45126, 43715, 110219, 48983, 110220, 41134, 108543]"
5686,[59232],Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,"[2582, 59232, 2213, 2995, 5990, 1110, 8703, 7017, 4378, 11933, 58662, 8133, 7115, 4011, 4495, 13665, 2106, 3896, 3655, 9942]","[59232, 2582, 2213, 1110, 2995, 4378, 8703, 3896, 3655, 7017, 5990, 4495, 8133, 4011, 13665, 9942, 7115, 11933, 2106, 58662]"
7969,"[52067, 53456, 46931, 40628, 103931]",Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,"[42134, 112672, 51463, 43040, 42088, 40445, 104646, 53264, 109178, 101281, 52691, 51548, 43153, 43152, 40379, 40074, 40983, 40411, 109079, 114807]","[43152, 109178, 40379, 40445, 40074, 40411, 43153, 101281, 52691, 51548, 53264, 42134, 104646, 109079, 42088, 51463, 114807, 43040, 40983, 112672]"
6641,[18223],"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?","[17032, 14621, 14622, 14557, 14834, 16638, 14620, 15010, 16142, 16640, 16667, 15975, 16642, 16637, 16181, 16671, 16047, 15019, 15979, 16182]","[17032, 14621, 14622, 14557, 14834, 16638, 14620, 15010, 16142, 16640, 16667, 15975, 16642, 16637, 16181, 16671, 16047, 15019, 15979, 16182]"
10271,"[14330, 14505, 14508, 14512, 14522, 14141]",Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,"[14503, 21460, 17539, 21531, 21535, 16512, 19644, 21534, 14695, 21537, 15017, 20488, 21538, 21536, 21530, 15394, 21532, 21539, 17774, 16842]","[14503, 15394, 14695, 17539, 16842, 16512, 21537, 17774, 21539, 19644, 21530, 21531, 20488, 21535, 21536, 21532, 21538, 21534, 15017, 21460]"
10069,[111],"Identify the common genetic targets that interact with both N-[(2',4'-Difluoro-4-hydroxy-5-iodobiphenyl-3-yl)carbonyl]-beta-alanine and 2-(2,6-Dichlorophenyl)-1,3-benzoxazole-6-carboxylic acid.","[29, 2805, 5137, 12334, 2158, 6933, 40, 2043, 4640, 3282, 315, 7558, 9088, 1831, 5514, 363, 4985, 8038, 197, 2982]","[29, 2805, 5137, 12334, 2158, 6933, 40, 2043, 4640, 3282, 315, 7558, 9088, 1831, 5514, 363, 4985, 8038, 197, 2982]"
768,"[99105, 99106, 99107, 33271, 99109, 30376, 31629, 99247, 94839, 27609]",What diseases associated with chromosomal abnormalities can lead to stunted physical growth and cognitive impairments?,"[31095, 32741, 32500, 33445, 32768, 31413, 32092, 30178, 29926, 33291, 27376, 28411, 28859, 33006, 28492, 29987, 32674, 28568, 28850, 32047]","[32500, 27376, 28411, 31095, 32768, 33445, 29926, 33006, 31413, 32674, 28492, 32047, 28850, 29987, 28568, 32092, 33291, 32741, 30178, 28859]"
3093,"[31754, 27547, 38252]",What condition could be linked to FAM111A gene or protein modifications in individuals with bone sclerosis and denser long bones?,"[30565, 27547, 29180, 38252, 31754, 30423, 83869, 36999, 29646, 94638, 36634, 94637, 37115, 33643, 37327, 28455, 36935, 83870, 37600, 36937]","[38252, 27547, 31754, 29646, 37115, 83870, 30423, 36999, 83869, 28455, 94637, 94638, 36634, 37327, 33643, 36937, 29180, 36935, 37600, 30565]"
9732,"[45193, 47627, 50011, 103928, 112264]",Which biological processes share a similar interaction pattern with genes or proteins as the positive regulation of exoribonuclease activity is observed in?,"[41524, 106682, 48182, 39995, 103730, 106373, 51361, 46443, 51209, 108281, 40983, 44383, 40315, 104781, 48532, 47627, 112264, 45193, 50011, 103928]","[50011, 45193, 51361, 108281, 47627, 103928, 46443, 48532, 39995, 41524, 51209, 48182, 40983, 40315, 112264, 104781, 44383, 106373, 103730, 106682]"
6708,"[94418, 94210, 94316]",Which phenotypic manifestations or effects are associated with the subtype of acute biphenotypic leukemia?,"[94419, 94418, 94316, 94210, 86289, 26281, 25512, 22923, 24478, 33749, 22916, 22934, 22918, 84993, 24143, 25620, 22757, 85849, 22952, 26180]","[94419, 22952, 22934, 25620, 22923, 26180, 94418, 94210, 22757, 94316, 85849, 22916, 24143, 25512, 86289, 84993, 22918, 24478, 26281, 33749]"
5950,[27831],Identify conditions unresponsive to medication that correlate with increased liver iron levels.,"[29761, 30776, 28176, 30402, 28183, 27772, 29390, 28134, 27187, 33434, 31607, 30436, 35764, 35915, 33572, 30664, 83749, 31524, 35742, 83778]","[28176, 30436, 30776, 29761, 33434, 35764, 28134, 29390, 27772, 30402, 28183, 27187, 31607, 31524, 35915, 30664, 83749, 35742, 83778, 33572]"
11077,[29113],Find medical conditions linked to the gene SLC29A3 that should not be treated with the drug Goserelin.,"[27219, 28407, 36043, 27933, 30438, 37044, 35583, 36453, 38682, 37703, 33656, 31109, 33616, 83760, 33575, 83840, 38898, 36923, 33528, 28552]","[30438, 31109, 33528, 28407, 33616, 27219, 27933, 38898, 28552, 37703, 36453, 83760, 36923, 33575, 36043, 83840, 33656, 35583, 38682, 37044]"
4438,"[8034, 57603, 61258, 61259, 61260, 61261, 8878, 61262, 61263, 61264, 61265, 61266, 61267, 61268, 61269, 5874, 57658, 701]","I need to find a gene or protein that interacts with the cis-Golgi network and contributes to the organization of the Golgi apparatus. It should be involved in regulating Golgi structure and function specifically within the Golgi cis cisterna, the Golgi cisterna membrane, and the cis-Golgi network. Can you supply information on any genes or proteins that fit this description?","[6600, 12345, 701, 7115, 6508, 1542, 11119, 1433, 61263, 61262, 2653, 61258, 61264, 9056, 61269, 57603, 1415, 56666, 61267, 7528]","[56666, 61262, 61269, 57603, 61267, 61263, 61264, 61258, 701, 11119, 12345, 6508, 1415, 7528, 7115, 2653, 9056, 6600, 1542, 1433]"
5928,"[24225, 23564, 22757, 22759]",What are the observed effects or phenotypes associated with the subtype of hereditary papillary renal cell carcinoma?,"[24225, 86780, 88948, 94409, 24212, 24226, 86781, 22759, 23564, 22757, 85318, 25587, 87027, 27156, 85618, 85291, 86682, 23206, 85240, 23351]","[24225, 86780, 22757, 23564, 22759, 85618, 85318, 23351, 24212, 88948, 25587, 94409, 24226, 23206, 86682, 87027, 86781, 27156, 85240, 85291]"
8037,"[63952, 64778, 63235, 64876]",Which anatomical structures lack the expression of genes or proteins involved in the interaction with the organization of actin cytoskeleton in postsynaptic terminals?,"[64778, 63826, 63235, 66747, 67302, 63584, 64800, 63180, 64876, 64799, 64338, 63824, 63952, 63921, 63149, 63466, 65509, 64313, 64512, 68618]","[64778, 63824, 64313, 63180, 66747, 68618, 63952, 63921, 63466, 67302, 63235, 64800, 63826, 63584, 64799, 64876, 64338, 64512, 65509, 63149]"
4259,"[13664, 11205, 6887, 5448, 3145, 3147, 11641, 5884, 765]","Could you identify enzymes that bind metal ions, are active in protein polyubiquitination, and play a role in both Antigen processing through Ubiquitination and Proteasome degradation?",[],[]
3815,[37440],What conditions should be included in the differential diagnosis for a patient presenting with a breast carcinoma subtype linked to both invasive ductal carcinoma and cystic hypersecretory carcinoma?,"[37440, 96661, 36798, 97016, 37132, 96589, 96805, 36772, 95972, 97290, 97419, 96863, 39858, 37472, 96674, 96711, 96800, 37512, 99902, 98083]","[37440, 97016, 36798, 36772, 37132, 98083, 96661, 37512, 96674, 39858, 97290, 95972, 96800, 96863, 97419, 96805, 96589, 37472, 96711, 99902]"
5496,"[96249, 96941]",What are the diseases derived from cervical benign epithelial neoplasms?,"[94981, 39706, 96940, 96249, 35791, 96941, 37436, 95241, 36567, 36665, 35741, 37100, 36081, 98874, 99709, 36402, 98909, 99582, 95812, 35443]","[36567, 36081, 36402, 35791, 96249, 96941, 94981, 36665, 96940, 35741, 95241, 99582, 37100, 99709, 39706, 95812, 37436, 98874, 35443, 98909]"
5772,"[23162, 23915]",What are the observed effects or phenotypes associated with constrictive pericarditis subtypes?,"[91058, 84394, 22831, 22837, 22849, 84361, 84472, 89535, 26336, 86137, 23011, 88019, 25805, 84373, 25672, 90788, 89307, 91031, 22860, 90633]","[26336, 22831, 23011, 89307, 25672, 84361, 22849, 22837, 22860, 91031, 84472, 84373, 90633, 91058, 25805, 89535, 90788, 88019, 86137, 84394]"
10117,"[108356, 44625, 106193, 103667, 46101, 42615, 111482, 48219, 112316]",Could you identify the biological processes that are involved with or influenced by the gene or protein linked to Distal Sensory Impairment?,"[46521, 104775, 108746, 105547, 105247, 46384, 44676, 46231, 100676, 40405, 48102, 105242, 52563, 40585, 47510, 51923, 40237, 100233, 42173, 50960]","[40405, 46521, 104775, 47510, 52563, 48102, 50960, 105247, 105547, 44676, 42173, 40585, 100233, 46231, 40237, 46384, 108746, 51923, 100676, 105242]"
5699,[16019],"Can you give me a list of drugs that target the FLT4 gene/protein and also suppress inflammation, edema, and angiogenesis?","[15002, 15205, 15230, 16021, 15020, 16018, 16019, 15599, 15674, 15752, 16022, 14413, 14945, 16020, 14187, 14207, 15187, 14794, 14190, 15446]","[15002, 15205, 15230, 16021, 15020, 16018, 16019, 15599, 15674, 15752, 16022, 14413, 14945, 16020, 14187, 14207, 15187, 14794, 14190, 15446]"
7152,"[94307, 22349, 22335]",What are the observed effects or phenotypes associated specifically with the subtype of suppurative uveitis?,"[88772, 25843, 88762, 25844, 25415, 24425, 22400, 90597, 84469, 24423, 87212, 22343, 26090, 90605, 93118, 22613, 26159, 26307, 26096, 23090]","[26096, 22613, 84469, 22400, 22343, 23090, 25415, 90597, 25844, 24423, 90605, 87212, 26090, 26307, 93118, 26159, 88762, 88772, 24425, 25843]"
10551,[111],"Which genes encode proteins that interact with both O-Trifluoromethylphenyl Anthranilic Acid and N-(3,5-dibromo-4-hydroxyphenyl)benzamide as ligands?","[315, 1831, 9088, 5137, 197, 4688, 10385, 8877, 9181, 7621, 6705, 363, 9610, 5176, 9136, 750, 706, 4425, 7319, 4801]","[197, 750, 363, 1831, 5137, 706, 7319, 4425, 315, 9181, 10385, 4801, 9136, 8877, 4688, 9088, 7621, 6705, 5176, 9610]"
7224,[14558],"Which medication, facilitated by gene or protein interactions with the sarcolemma, exhibits minimal impact on blood gases, respiratory function, and the cardiovascular system?","[15077, 14136, 15502]","[14136, 15077, 15502]"
2287,[39750],What diseases are subclassified under secondary malignant neoplasms and have metastatic potential?,"[39750, 39751, 36496, 39748, 37619, 84263, 39749, 35612, 99925, 37682, 99926, 83825, 37498, 36701, 36936, 37076, 96345, 37427, 83868, 99571]","[36496, 39748, 39750, 37619, 39749, 35612, 39751, 99925, 37498, 83868, 83825, 37427, 99571, 99926, 84263, 37682, 36936, 36701, 37076, 96345]"
1804,[12390],"Please find me genes or proteins linked to pediatric liver cancer, interacting with PAXIP1, highly expressed in lung adenocarcinoma, with a nuclear signal and similarity to GAGE/PAGE proteins.","[12390, 8289, 5558, 42, 2037, 223, 3807, 505, 3008, 33983, 9249, 5240, 33995, 6426, 177, 1029, 139, 769, 6408, 4550]","[12390, 769, 6408, 177, 2037, 139, 3008, 5558, 505, 6426, 5240, 3807, 42, 8289, 1029, 223, 33995, 33983, 9249, 4550]"
1989,[32731],"What possible conditions could I have that are linked to or similar to uniparental disomy of chromosome X, particularly if this led to me inheriting two copies of a recessive gene from my mother?","[32731, 32724, 98770, 98771, 39314, 98769, 33160, 98789, 32679, 39268, 32675, 32677, 33161, 32678, 32667, 98862, 38952, 99759, 98775, 98774]","[32731, 32724, 39314, 39268, 38952, 98769, 98770, 32675, 98771, 33160, 32679, 32677, 32678, 98774, 98789, 33161, 32667, 98775, 98862, 99759]"
