query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
6793,Looking for a Baleaf cycling jersey with UPF sun protection to shield my skin from harmful sun rays during my rides.,20,16,4,0.8,0.8,1.0,1.0,1.0,0.75
1279,Could you recommend a bamboo longboard skateboard from Blank Skateboards?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4646,"Looking for a premium leather gun holster that offers a snug fit, comfort for carrying, and is often viewed alongside the Holster with Magazine Pouch Fits Bersa Thunder 380 & Concealed Carry?",13,0,13,0.0,0.0,0.0,0.0,0.0,0.0
2061,Can you suggest some high-quality badminton racquets with a BOX frame design?,9,3,6,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333
5623,"What's the best summer hoof gel that dries quickly and doesn't attract dirt? I typically pair this with Effol Winter Hoof Gel, so any similar recommendations would be appreciated.",1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
6295,"I'm looking for a bike frame pannier bag that comes with a headphone jack. My needs include it being able to securely hold my phone while also providing room for other items like wallet and keys. Size-wise, I'm aiming for something around 19.5 * 10 * 9cm. Ideally, the bag should have a sizable opening to ensure there's no hassle inserting and removing items, even when there's a headphone plugged in. Can you help me find such a product?",16,0,16,0.0,0.0,0.0,0.0,0.0,0.125
1236,Can you suggest some scope rings compatible with a 7MM Leupold scope? I'm interested in something similar to the high blue-gloss finish of the Ruger 90271 Scope Mount Ring.,11,3,8,0.2727272727272727,0.2727272727272727,0.0,1.0,0.5,0.2727272727272727
1944,Can you suggest an alkaline water cup that includes a shoulder bag and helps maintain the right body pH balance?,8,0,8,0.0,0.0,0.0,0.0,0.0,0.625
7778,Looking for similar options to the Rubbermaid 14 oz. reusable refillable water bottles in pink and green that I've loved for my hiking trips. They should be handy and come with a finger loop for easy carrying. Any recommendations for a Rubbermaid water bottle set that's suitable for hiking?,6,5,1,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.6666666666666666
2029,"Can you suggest a durable, premium plastic key holder that includes a keyring and comes in individual packaging?",5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
668,What other fishing lures are frequently viewed by customers who purchased the Rapala Ultra Lite Lure Kit?,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
2200,"Looking for a Tioga brand bicycle tire, can you assist?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
144,Can you suggest any golf swing trainers by ProActive Sports that are good for improving swing techniques and can be used indoors and outdoors? I've had positive past experiences with their products.,5,5,0,1.0,1.0,1.0,1.0,1.0,0.8
5998,Looking for a standout NCAA Arkansas Razorbacks Car Tag. It should have laser-cut acrylic detailing. Any suggestions?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
8468,Looking for Zhun Gao outdoor climbing carabiners set with versatile functionality to be used as a handle or hanger. Need to ensure it's a set and not a single piece.,1,1,0,1.0,1.0,0.0,0.0,0.14285714285714285,1.0
3229,"Looking for a high-quality, easy to assemble sword stand about 14 inches in height and 3 inches wide. Not interested in low-quality or inexpensive options.",18,3,15,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.1111111111111111
3382,"Is the NFL Men's New England Patriots Wes Welker #83 2011 Super Bowl XLVI Participant Jersey constructed with high standards and does it have a true to size fit? Also, are its dimensions roughly around 10 x 5 x 5 inches?",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1336,"Is there a sturdy, flat Nalgene flask that can easily fit in a bag or backpack?",4,3,1,0.75,0.75,1.0,1.0,1.0,0.75
4447,What is a highly recommended daypack that is frequently purchased with the Condor Recon Chest Rig?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
4491,Can I find the AYURVITAL FITNESS STEP AEROBIC III aerobic fitness step? I have a specific preference for this make.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7362,Can I find an affordable Mauser C96 Broomhandle Pistol Leather Holster that includes a compartment for the cleaning rod and offers effective protection for my valuable firearms?,2,1,1,0.5,0.5,0.0,1.0,0.5,1.0
