query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
6632,Search for illnesses that have no drugs indicated for treatment and are related to the presence of Wormian bones.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
657,Can you give me a rundown of drugs effective against both UTIs and Mycoplasma pneumonia that have a molecular weight exactly at 558.52 Da?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3478,What are the diseases similar or linked to Paradas congenital myopathy that also present with progressive muscle weakness?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7684,Identify proteins or genes that interact with Glycophorin A (GYPA) and are linked to a common disease.,1,1,0,1.0,1.0,0.0,0.0,0.06666666666666667,0.0
7107,Search for pathologies linked to cholecystokinin (CCK) that should not be treated with Tacrine.,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
1926,Could you provide a list of immunosuppressant drugs that may lead to rashes and abdominal swelling as side effects?,4,1,3,0.25,0.25,0.0,1.0,0.3333333333333333,0.5
7879,"Could you provide a list of medications that, when combined with Astemizole, exhibit synergistic effects in treating allergic conjunctivitis, share the same indication, and are available in ophthalmic solution format for the management of allergic conjunctivitis?",7,6,1,0.8571428571428571,0.8571428571428571,0.0,0.0,0.125,0.7142857142857143
4026,What secondary disease arises due to metastasis from bladder cancer?,7,0,7,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
4945,"What is the diagnosis for a urogenital condition characterized by non-syndromic urinary tract malformations, presenting as duplicated penile structures, ranging from double glans to separate shafts, and potentially bundled with other congenital issues like urethral duplication, abnormal urination patterns, hypo- or epispadias, bifid scrotum, or bladder exstrophy?",2,1,1,0.5,0.5,1.0,1.0,1.0,1.0
6115,"Is the gene responsible for encoding the ATP-binding cassette transporter protein, which facilitates drug transport and exhibits a synergistic relationship with Trapidil, a member of the ABC superfamily of transporters?",16,0,16,0.0,0.0,0.0,0.0,0.0,0.6875
3222,What are the solid-form drugs known to target the lysozyme (LYZ) gene or its protein?,13,13,0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231
10930,Which anatomical parts lack expression of genes or proteins implicated in the development of Ureteropelvic Junction Obstruction?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
