q_id,q_string,df1_answer_list,top_20_vss_array,combined_answer_list,ground_truths,total_answers,retrieved_count,missed_count,recall,hit@1,hit@5,hit@10,mrr
2614,What sports team logo pillowcases would pair well with a recently purchased NCAA Georgia Bulldogs Micro Fiber Pillow Case? It should be soft and ideal for sprucing up a boy's room. Any recommendations?,"[273164, 220628, 235047, 220657, 71062, 365011, 365015, 163852, 822660, 153750, 51842, 199119, 175032, 65284, 256482, 137527, 221366, 65256, 254851, 169777, 479166, 684163, 169779, 14171, 657240, 835394, 824881, 835398, 78546, 26159, 954105, 812925, 675270, 367231, 915635, 873969, 60825, 81736, 214833, 922669, 392703, 81749, 198310, 36832, 231977, 71089, 80988, 125032, 448737, 879804]","[22232, 220657, 420695, 287209, 101763, 43469, 814696, 377867, 235047, 48814, 507438, 47000, 80988, 220628, 48747, 280926, 439795, 898351, 431170, 260064]","[273164, 220628, 235047, 220657, 71062, 365011, 365015, 163852, 822660, 153750, 51842, 199119, 22232, 420695, 287209, 101763, 43469, 814696, 377867, 48814]","[220628, 235047]",2,2,0,1.0,0.0,1.0,1.0,0.5
8291,Can you suggest a pair of comfortable shoes that come in a standard shoe box of around 14 x 9 x 5 inches?,"[1032747, 28610, 146398, 134131, 134126, 104918, 43497, 170796, 605488, 308771, 556844, 28815, 743054, 770856, 678194, 28604, 134497, 28609, 264156, 28592, 34699, 227430, 28606, 28588, 264408, 493660, 264157, 837453, 28598, 30766, 7988, 53480, 4699, 573202, 138803, 840223, 873588, 7992, 34621, 897722, 81825, 3965, 894949, 138641, 1033562, 1033565, 1033494, 1033290, 1032898, 1033547]","[805185, 451293, 465673, 607454, 596063, 830527, 325824, 102338, 378010, 658504, 830523, 558255, 65445, 657703, 743054, 859786, 663394, 363379, 237118, 777529]","[1032747, 28610, 146398, 134131, 134126, 104918, 43497, 170796, 605488, 308771, 556844, 28815, 805185, 451293, 465673, 607454, 596063, 830527, 325824, 102338]","[202369, 527293, 862982]",3,0,3,0.0,0.0,0.0,0.0,0.0
614,"What's a recommended Coleman catalytic heater known for being safe, efficient and reliable, without a focus on features like adjustability or instant starting systems?","[379990, 8904, 26734, 281511, 348496, 9778, 939492, 42238, 683166, 280965, 395340, 574277, 455229, 523238, 518501, 124503, 510069, 234061, 50615, 481095, 170027, 833412, 577942, 403821, 399926, 838821, 400255, 927960, 317416, 522835, 591945, 523322, 523212, 325666, 970638, 994431, 980168, 960649, 976650, 1003976, 970640, 1033290, 1032935, 1033528, 1032953, 1032890, 1032606, 1032690, 1033553, 1033031]","[8904, 8949, 379990, 152627, 26734, 83060, 301894, 322816, 276958, 395335, 395340, 545, 109089, 8992, 32450, 780739, 542257, 683166, 83038, 35051]","[379990, 8904, 26734, 281511, 348496, 9778, 939492, 42238, 683166, 280965, 395340, 574277, 8949, 152627, 83060, 301894, 322816, 276958, 395335, 545]","[8904, 379990, 348496, 26734]",4,4,0,1.0,1.0,1.0,1.0,1.0
2235,"Can you recommend a set of long sleeve t-shirts for Chicago Bulls that provides versatility, giving three distinct style options from the combination of two shirts?","[878640, 911995, 746233, 319068, 849323, 954299, 703626, 790636, 842018, 622993, 445760, 445769, 466850, 560239, 340608, 726439, 875991, 149606, 454271, 395720, 340621, 340614, 594997, 519318, 511332, 285079, 193007, 212976, 633644, 211466, 229857, 224048, 229470, 224006, 224016, 229945, 39368, 224025, 229872, 226494, 80478, 877521, 551193, 39385, 884847, 101585, 800997, 139241, 763523, 800998]","[176820, 129643, 339379, 294401, 742989, 524222, 385400, 685562, 637191, 878640, 357515, 176304, 339382, 149515, 172189, 258877, 730824, 258884, 49357, 29497]","[878640, 911995, 746233, 319068, 849323, 954299, 703626, 790636, 842018, 622993, 445760, 445769, 176820, 129643, 339379, 294401, 742989, 524222, 385400, 685562]","[129643, 339379, 176820, 524222]",4,4,0,1.0,0.0,0.0,0.0,0.07692307692307693
8903,Can you suggest a comfortable and health-promoting bicycle back seat cushion? I've heard that those with honeycomb design surfaces are good.,"[935875, 595471, 660591, 405885, 790253, 360022, 628451, 919157, 929523, 870944, 1033448, 899663, 60326, 639933, 639953, 955742, 868520, 670055, 7522, 156509, 128226, 21641, 927544, 15526, 143838, 922523, 696858, 893678, 46406, 34214, 722839, 291606, 956604, 602452, 689302, 319016, 938515, 100154, 438136, 956509, 621794, 814023, 693295, 644043, 627118, 615646, 2242, 512669, 799561, 1033087]","[935875, 735661, 929521, 660591, 299718, 737869, 831343, 341004, 360022, 405885, 35035, 28536, 870944, 196035, 15513, 570967, 614160, 869660, 628451, 724056]","[935875, 595471, 660591, 405885, 790253, 360022, 628451, 919157, 929523, 870944, 1033448, 899663, 735661, 929521, 299718, 737869, 831343, 341004, 35035, 28536]",[935875],1,1,0,1.0,1.0,1.0,1.0,1.0
8925,Where can I find durable and supportive shoelaces from HICKIES?,"[938450, 707077, 865119, 790480, 320311, 808930, 808932, 269416, 372997, 269406, 269409, 47843, 269415, 897956, 720002, 252513, 74872, 182672, 427089, 913997, 174500, 32069, 774885, 828319, 823133, 769747, 497695, 920750, 920184, 940826, 659777, 923777, 630103, 439223, 630709, 758129, 776138, 769072, 34921, 1032580, 1033932, 1032898, 1033551, 1034977, 1033397, 1034110, 1034549, 1035095, 1035116, 1035530]","[938450, 865119, 568873, 292885, 913907, 829508, 822640, 955749, 405859, 944644, 790480, 698403, 877975, 574119, 753651, 955737, 686990, 574118, 574121, 577386]","[938450, 707077, 865119, 790480, 320311, 808930, 808932, 269416, 372997, 269406, 269409, 47843, 568873, 292885, 913907, 829508, 822640, 955749, 405859, 944644]",[938450],1,1,0,1.0,1.0,1.0,1.0,1.0
2241,"Looking for Nike swimming goggles with a silicone double strap for comfort. They should ideally have wrap-around, optically polished lenses for a clear underwater view.","[211530, 913428, 913949, 913953, 178014, 929834, 54713, 33414, 954935, 949698, 211538, 211532, 862618, 766776, 782424, 19198, 776687, 928350, 876223, 799978, 931189, 799979, 867373, 933530, 809915, 799975, 809279, 776682, 372261, 913433, 19220, 867098, 773982, 19186, 19199, 933527, 913430, 892508, 913429, 760012, 956720, 857400, 815946, 38801, 746662, 575671, 562425, 1032931, 1033641, 1032756]","[178014, 178029, 929834, 137694, 777464, 548641, 737365, 473191, 759154, 54719, 211530, 548639, 700153, 54720, 54398, 622797, 33414, 111157, 54713, 641980]","[211530, 913428, 913949, 913953, 178014, 929834, 54713, 33414, 954935, 949698, 211538, 211532, 178029, 137694, 777464, 548641, 737365, 473191, 759154, 54719]","[650498, 54409, 622797, 178014, 59794, 111157, 214043, 54398]",8,1,7,0.125,0.0,1.0,1.0,0.2
2288,What are some wireless optical mouse options from Tribeca?,"[184344, 184294, 184337, 184351, 184304, 184325, 184327, 184330, 184341, 184323, 248142, 241668, 224098, 248141, 248155, 224105, 212872, 248138, 212869, 212878, 65491, 234322, 376433, 166290, 265612, 229290, 103475, 148122, 431085, 667337, 115988, 954745, 42909, 203676, 396055, 203623, 191767, 669199, 431273, 24040, 359996, 203645, 359998, 325895, 498697, 191801, 191774, 885538, 1032687, 1032797]","[184344, 184337, 184294, 248142, 184351, 184325, 184330, 184304, 184341, 241668, 184323, 184327, 212872, 248141, 184308, 184302, 224098, 184446, 184312, 248155]","[184344, 184294, 184337, 184351, 184304, 184325, 184327, 184330, 184341, 184323, 248142, 241668, 212872, 248141, 184308, 184302, 224098, 184446, 184312, 248155]",[184351],1,1,0,1.0,0.0,1.0,1.0,0.25
6528,Does Amazon have any Green Bay brand light-up ornaments in stock?,"[653408, 454402, 674893, 208976, 325851, 454396, 743711, 334081, 575906, 97639, 649431, 292918, 575901, 576196, 591760, 502438, 270032, 519609, 15342, 751573, 647411, 789258, 345022, 457720, 497119, 337282, 185124, 426389, 361324, 337283, 292915, 778193, 235743, 230479, 173171, 426393, 825077, 756840, 808403, 905365, 186503, 106957, 800451, 675117, 296626, 768042, 14171, 383698, 646223, 13236]","[653408, 29144, 906128, 830371, 668365, 180985, 268670, 97221, 722648, 91236, 501278, 722009, 372853, 721118, 125299, 658642, 356222, 373837, 141674, 909818]","[653408, 454402, 674893, 208976, 325851, 454396, 743711, 334081, 575906, 97639, 649431, 292918, 29144, 906128, 830371, 668365, 180985, 268670, 97221, 722648]",[653408],1,1,0,1.0,1.0,1.0,1.0,1.0
1671,"I'm on the hunt for a portable travel spinning rod ideal for air travel. I've had positive experiences with the Okuma Nomad Inshore Saltwater Multi Action Travel Rods-NTi-S-703ML-M (Blue/Black, 7-Feet) and Okuma NOMAD Travel Casting Rod (15-40 Lbs, 7-Feet, Medium-Light), which I found perfect for my travels. I'm also interested in finding something similar to the DAIWA TRIPLE B B.B.B 666TLFS by Daiwa spinning rod.","[115553, 280265, 829629, 829621, 34089, 115536, 115532, 187138, 487692, 702759, 498213, 829618, 115535, 487694, 487691, 487662, 217559, 495056, 944350, 115546, 115557, 187135, 239620, 543259, 487703, 543260, 711782, 280267, 280263, 372017, 789331, 606342, 498198, 15941, 409077, 651766, 180021, 781869, 280262, 58839, 543261, 431791, 760582, 856452, 53685, 151108, 283228, 180264, 487690, 721833]","[207728, 187135, 187138, 239620, 115546, 215141, 215597, 115532, 115553, 115557, 115536, 829629, 829618, 829621, 487662, 495056, 487692, 487694, 487672, 498213]","[115553, 280265, 829629, 829621, 34089, 115536, 115532, 187138, 487692, 702759, 498213, 829618, 207728, 187135, 239620, 115546, 215141, 215597, 115557, 487662]","[115553, 115546, 187135]",3,3,0,1.0,1.0,1.0,1.0,1.0
