q_id,q_string,top_20_vss_array,ground_truths_array,ground_truths_missed_array,total_answers,retrieved_count,missed_count,recall@20,recall@50,hit@1,hit@5,mrr
793,Are there any studies from the University of Lausanne focusing on a new frameless stereotactic technology in the context of Ionization chamber?,"[1672554, 1519858, 1798501, 1431691, 1512156, 1410866, 1667317, 1226514, 1480283, 1203065, 1645958, 1582867, 1517239, 1852163, 1298631, 1728322, 1500721, 1227430, 1475512, 1209126]",[1721325],[1721325],1,0,1,0.0,0.0,0.0,0.0,0.0
7777,"Can you find more publications from the authors of ""Circular dichroism of a tilted U-shaped nanostructure"" that introduce novel metamaterials to manipulate optical transmission asymmetry?","[1704983, 1690034, 1190679, 1755409, 1772334, 1420375, 1455719, 1549822, 1382048, 1792292, 1273767, 1423395, 1332160, 1416982, 1280473, 1847363, 1513392, 1259298, 1547936, 1596492]","[1690034, 1802778, 1761399]","[1802778, 1761399]",3,1,2,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5
2493,Are there any publications by Omsk State Transport University scholars on errors in Kramers' nuclear fission formulas?,"[1258081, 1456971, 1242857, 1404114, 1397178, 1318228, 1253184, 1281458, 1808850, 1847029, 1606584, 1264078, 1739859, 1489318, 1862552, 1668559, 1666794, 1796323, 1603114, 1661773]","[1258081, 1456971, 1242857]",[],3,3,0,1.0,1.0,1.0,1.0,1.0
1682,"Find publications by coauthors of ""Thompson scattering in high-intensity chirped laser pulses"" which also explore the impact of spin on magnetic fields.","[1257725, 1414489, 1345521, 1275908, 1627825, 1502887, 1795253, 1393933, 1332462, 1535200, 1316540, 1665491, 1330600, 1870118, 1660819, 1819122, 1314023, 1215466, 1818809, 1754622]","[1615103, 1453412, 1604165, 1242825, 1507153, 1187933, 1352251, 1220125, 1269503]","[1615103, 1453412, 1604165, 1242825, 1507153, 1187933, 1352251, 1220125, 1269503]",9,0,9,0.0,0.0,0.0,0.0,0.0
7275,"Can you locate 2015 papers that compare photodetectors, which are referenced in ""A systematic characterization of the low-energy photon response of plastic scintillation detectors""?","[1691439, 1222345, 1215341, 1266282, 1376826, 1761023, 1686974, 1555306, 1503372, 1615518, 1374745, 1509038, 1675855, 1468694, 1865352, 1589679, 1655946, 1703285, 1426072, 1318497]",[1215341],[],1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333
1920,Show me publications by B. Spruck focusing on hyperon production research.,"[1700978, 1214715, 1189366, 1758061, 1329531, 1811470, 1654856, 1353459, 1863977, 1392891, 1417253, 1669611, 1197742, 1287438, 1847325, 1372702, 1437343, 1777437, 1585699, 1484587]",[1422385],[1422385],1,0,1,0.0,0.0,0.0,0.0,0.0
3587,Show me publications by P. A. Khilo related to beam generation.,"[1243668, 1184504, 1815899, 1197806, 1280773, 1477211, 1567617, 1599917, 1218433, 1664837, 1235375, 1475613, 1563360, 1215964, 1177898, 1251777, 1570787, 1498693, 1332561, 1691236]","[1684106, 1478797]","[1684106, 1478797]",2,0,2,0.0,0.0,0.0,0.0,0.0
4318,Does any Optics literature from Yokogawa Electric talk about a record-breaking breakdown voltage for diamond field-effect transistors when they were published?,"[1718820, 1792483, 1618826, 1345530, 1224363, 1526632, 1829236, 1659367, 1772322, 1751255, 1186171, 1423039, 1804048, 1632377, 1294527, 1738631, 1345322, 1839555, 1380450, 1183436]",[1718820],[],1,1,0,1.0,1.0,1.0,1.0,1.0
4412,Does any research from Wheelock College delve into the study of offset bars in late-type galaxies in the discipline of Astrophysics?,"[1748850, 1214294, 1182687, 1600558, 1693726, 1209162, 1580300, 1389147, 1259327, 1575424, 1783538, 1811048, 1647209, 1196409, 1751769, 1335523, 1212894, 1693619, 1753241, 1590108]",[1748850],[],1,1,0,1.0,1.0,1.0,1.0,1.0
7989,Show me papers published by co-authors of 'Will organic thermoelectrics get hot' that also explore the subject of magnetoplasmonic systems.,"[1274860, 1422910, 1862766, 1235110, 1778914, 1411935, 1469413, 1788225, 1777475, 1606547, 1823112, 1464469, 1181546, 1432655, 1399656, 1305266, 1261730, 1660187, 1806973, 1444605]",[1843745],[1843745],1,0,1,0.0,0.0,0.0,0.0,0.0
