query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
4001,Are there any Meteorology research papers from Central Queensland University that concentrate on rainfall forecasting?,3,0,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2969,"Could you locate publications that have a common coauthor with ""Measuring temperatures in a high concentration solar simulator – Demonstration of the principle"", belong to the same research area, and discuss a methodology for measuring surface temperatures in concentrated solar power systems?",3,3,0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
11758,Does any research from Lycoming College relate to the field of Null Hypothesis and incorporate permutation entropy as a tool to describe the dynamics studied?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
9931,Show me research from Kafrelsheikh University on the topic of thermal bending in nanobeams.,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
4670,"Publications authored by colleagues of the authors of ""The crystalline fraction of interstellar silicates in starburst galaxies"" that examine spectroscopic observations of the cool evolved stars in M32 using data from 2015.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2501,Search for publications by Andrew D. Elvidge on the topic of terrain-induced turbulence.,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
3911,"What are some papers that ""Trigger Performance Simulation of a High Speed ADC-Based TOF-PET Read-Out System"" cites to validate the GEANT4 optical models?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
284,"I'm looking for research articles related to Schottky Barrier Diode Structures (SBDS), specifically focusing on the impact of an insulator layer on the performance and characteristics of Schottky barrier diodes.",4,1,3,0.25,0.25,0.0,0.0,0.05263157894736842,0.5
3937,"Looking for papers co-authored by contributors of ""Robust source-range estimation using the array/waveguide invariant and a vertical array"", that delve into noise correlation effects, within the domain of underwater acoustic signal processing.",7,6,1,0.8571428571428571,0.8571428571428571,0.0,1.0,0.25,0.7142857142857143
6123,Are there any papers by scholars at California Lutheran University on the topic of magnetic activity in stars that host exoplanets?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
11340,Show me publications by G. Monastyrskyi on the topic of compact mid-IR light sources.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
8175,"Can you show me the papers that ""Asymmetric Ejecta of Cool Supergiants and Hypergiants in the Massive Cluster Westerlund 1"" referenced, and have also presented the dynamical masses of the stars within the Westerlund 1 massive cluster?",1,1,0,1.0,1.0,0.0,0.0,0.125,1.0
11605,Show me publications by D. A. Kiselev on the topic of domain formation in ferroelectric thin films.,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
2332,"I'm looking for papers from Islamic Azad University South Tehran Branch discussing ambipolar diffusion, specifically in relation to nonlinear plasma heating mechanisms. Can you help me find them?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1625,Arxiv publications on angular momentum transfer in excitation-ionization collisions by authors affiliated with Henderson State University.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4113,Show me publications on the structural characteristics of Bixbyite-based (La1−xLux)2O3 alloys.,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
2908,"Can you find any publications by co-authors of ""Low-cost bandpass filter for terahertz applications"" that delve into the topic of terahertz modulators?",6,6,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
6497,Does the Children's Hospital of Philadelphia have any publications in the realm of Physics addressing pediatric imaging methodologies?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
6072,"What are the papers referenced in ""Analytical eigenstates for the quantum Rabi model"" that also discuss interactions between quantum systems?",8,3,5,0.375,0.375,1.0,1.0,1.0,0.375
3017,Show me papers by W. Snoeys on the topic of charged-particle distributions at high rapidity.,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0
1762,Does Reykjavík University have any publications on the topic of THz frequency oscillations in vacuum microdiodes specifically within the context of Diode studies?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
1903,"Show me papers discussing glucose detection through plasmonic nanostructures, which have also been referenced in the paper titled ""Hybrid cavity-coupled plasmonic biosensors for low concentration, label-free and selective biomolecular detection"".",1,1,0,1.0,1.0,0.0,0.0,0.058823529411764705,1.0
5774,Find me papers that explore the applications of quantum cascade lasers and either cite or are cited by the paper titled 'Parallel fiber amplifiers with carrier–envelope drift control for coherent combination of optical frequency combs'.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
9440,"Search for publications exploring electron acceleration within gas discharges that are referenced by ""Numerical investigation of the parameters of a runaway electron beam generated in a gas-filled atmospheric-pressure hot-channel diode"".",9,9,0,1.0,1.0,0.0,1.0,0.5,0.7777777777777778
4688,Show me articles on Arxiv related to star formation in dwarf galaxy groups within the HIPASS survey.,3,1,2,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666
12264,"Which papers by authors of ""Allowance for polarization in passive space sensing of reflective properties of the Earth’s surface"" explore the impact of polarization effects on the analysis of Earth's surface satellite imagery?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
6446,"What are the papers that reference ""Measurement of the b-hadron production cross section using decays to D*(+)mu X- final states in pp collisions at root s=7 TeV with the ATLAS detector"" and also delve into luminosity calibration methods for the LHC?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
12362,Could you show me the papers by Camila S. Machado which discuss Feynman rules in the context of quantum field theories or computations?,1,1,0,1.0,1.0,0.0,0.0,0.05263157894736842,0.0
