id,ground_truths,query,original_answers,reranked_answers
3881,"[359040, 359043, 774916, 359045, 489480, 359050, 541837, 359056, 207766, 216350, 635429, 359079, 359091, 331064, 638929, 359134, 192102, 489451, 359022, 489471]",Can you recommend a men's short with pockets and a 9-inch inseam that ships within the U.S.?,"[904433, 620990, 600886, 668974, 522277, 421301, 956987, 179529, 535693, 692651, 744340, 908982, 586138, 586159, 668956, 110779, 619186, 619188, 781992, 225566]","[904433, 586138, 586159, 179529, 620990, 668974, 421301, 600886, 522277, 956987, 535693, 692651, 744340, 908982, 668956, 110779, 619186, 619188, 781992, 225566]"
7157,"[578257, 148433, 13329, 39285, 470331, 727229, 915358, 915359]","Can you suggest an easy-to-use trap setter? I had some issues with the previous one I purchased, and now I'm looking for something simple to operate.","[148433, 711042, 13329, 879472, 666181, 189932, 729297, 273918, 705615, 705603, 642099, 252311, 705599, 881929, 190147, 705689, 356601, 881918, 683028, 190141]","[683028, 148433, 711042, 13329, 879472, 666181, 189932, 729297, 273918, 705615, 705603, 705689, 642099, 252311, 705599, 881929, 190147, 881918, 190141, 356601]"
3552,"[558437, 323278, 478487]",Are there any cycling shorts that have a D-lock loop for convenience and also feature stylish front pockets similar to everyday jeans?,"[367282, 370178, 410124, 700789, 367279, 700809, 824913, 410118, 824918, 315250, 410115, 53696, 756117, 450870, 775007, 432638, 669339, 700557, 205914, 645943]","[367282, 410124, 700789, 367279, 700809, 410118, 315250, 410115, 53696, 756117, 450870, 432638, 669339, 700557, 205914, 645943, 370178, 824913, 824918, 775007]"
2609,"[220416, 145249, 253122, 240070, 253126, 253129, 220414, 42324, 145240, 145241, 145242, 145244, 155933, 326078]","Looking for a reliable performance wristband that is favored by global athletes. Ideally, it should be from the Power Balance brand and importantly, it should include a yotta mark code for authenticity verification.","[145244, 253126, 145241, 145240, 145239, 220414, 145249, 253122, 145245, 145242, 300750, 240070, 253129, 300744, 319646, 220416, 254801, 42324, 256879, 155933]","[145244, 253126, 220416, 145241, 145240, 145239, 220414, 145249, 253122, 145245, 145242, 300750, 240070, 253129, 300744, 319646, 254801, 42324, 256879, 155933]"
873,[29331],Can you help me find a JBL manufactured spear gun shaft?,"[29331, 365719, 316640, 1627, 282574, 365722, 811589, 29315, 1612, 286153, 47234, 292442, 787825, 47230, 104862, 508103, 309626, 47240, 273843, 306178]","[787825, 47230, 104862, 508103, 273843, 29331, 365719, 316640, 1627, 282574, 365722, 811589, 29315, 1612, 286153, 47234, 292442, 309626, 47240, 306178]"
2261,[180803],Looking for an easy to store and transport UCLA tent with at least 6 feet in height clearance. Can you help?,"[845421, 813514, 69466, 126602, 924629, 465927, 881196, 765297, 727215, 480815, 742955, 818501, 521594, 411513, 561133, 628334, 687369, 472660, 438474, 322603]","[845421, 813514, 69466, 126602, 924629, 465927, 881196, 765297, 727215, 818501, 521594, 411513, 628334, 472660, 438474, 322603, 480815, 742955, 561133, 687369]"
7335,"[749276, 749350, 749279]",Looking for a women's long-sleeved NFL hoodie that is 100% cotton. Want one featuring team colors striped on the sleeves and an oversized distressed logo and team name on the chest.,"[128722, 378292, 225619, 225596, 274559, 55775, 22419, 44484, 225622, 225617, 325108, 110877, 114445, 897104, 21871, 363936, 48566, 21882, 325113, 325128]","[128722, 378292, 225596, 274559, 55775, 22419, 225622, 225617, 325108, 110877, 114445, 21871, 363936, 21882, 325113, 325128, 225619, 44484, 897104, 48566]"
4650,"[449689, 670662]",Can you suggest a sporty quartz wristwatch for men with model number AS8058TTG? I need it to come with a protection plan that can be emailed to me within 2 days.,"[449687, 449689, 449685, 357794, 328299, 328300, 28005, 935966, 902109, 395458, 195972, 87484, 225110, 291931, 87865, 567109, 395412, 905320, 708780, 266591]","[449687, 449689, 449685, 357794, 328299, 328300, 28005, 935966, 902109, 395458, 225110, 567109, 266591, 195972, 87484, 291931, 87865, 395412, 905320, 708780]"
1320,"[16145, 531908, 168773, 77670]",Can you help me find a comfortable shoulder bag with around an 8.5-inch drop and a cushioned bottom for added protection of items?,"[538722, 504897, 113876, 76957, 186765, 385991, 725752, 725754, 317893, 318300, 909070, 606096, 940916, 194786, 211951, 742432, 873560, 737895, 715038, 442045]","[504897, 113876, 186765, 385991, 317893, 318300, 606096, 940916, 211951, 742432, 737895, 715038, 538722, 76957, 725752, 725754, 909070, 194786, 873560, 442045]"
6206,[616593],Will the Player's Choice OUTDOOR Inline Skate Wheels 76MM 89a BLACK x8 W/ABEC 9 BEARINGS and Rollerblade 8mm Core axles I've added to my cart be compatible with OUTDOOR Inline Skate Wheels designed for a 608 bearing hub?,"[616587, 616602, 615405, 616003, 157470, 616593, 616588, 340873, 715205, 946295, 217938, 946300, 560028, 720554, 470444, 715207, 720674, 355936, 274113, 154016]","[616602, 157470, 616588, 715205, 946295, 946300, 560028, 720554, 470444, 715207, 720674, 355936, 154016, 616587, 615405, 616003, 616593, 340873, 217938, 274113]"
