query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
6517,Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
9996,Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,1,1,0,1.0,1.0,0.0,0.0,0.125,1.0
3630,Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,1,1,0,1.0,1.0,0.0,0.0,0.0625,0.0
10252,Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,2,1,1,0.5,0.5,0.0,1.0,0.5,1.0
5142,Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1755,"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5686,Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7969,Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,5,0,5,0.0,0.0,0.0,0.0,0.0,0.4
6641,"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
10271,Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0
10069,"Identify the common genetic targets that interact with both N-[(2',4'-Difluoro-4-hydroxy-5-iodobiphenyl-3-yl)carbonyl]-beta-alanine and 2-(2,6-Dichlorophenyl)-1,3-benzoxazole-6-carboxylic acid.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
768,What diseases associated with chromosomal abnormalities can lead to stunted physical growth and cognitive impairments?,10,0,10,0.0,0.0,0.0,0.0,0.0,0.0
3093,What condition could be linked to FAM111A gene or protein modifications in individuals with bone sclerosis and denser long bones?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
9732,Which biological processes share a similar interaction pattern with genes or proteins as the positive regulation of exoribonuclease activity is observed in?,5,1,4,0.2,0.2,0.0,1.0,0.25,0.2
6708,Which phenotypic manifestations or effects are associated with the subtype of acute biphenotypic leukemia?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
5950,Identify conditions unresponsive to medication that correlate with increased liver iron levels.,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
11077,Find medical conditions linked to the gene SLC29A3 that should not be treated with the drug Goserelin.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4438,"I need to find a gene or protein that interacts with the cis-Golgi network and contributes to the organization of the Golgi apparatus. It should be involved in regulating Golgi structure and function specifically within the Golgi cis cisterna, the Golgi cisterna membrane, and the cis-Golgi network. Can you supply information on any genes or proteins that fit this description?",18,13,5,0.7222222222222222,0.7222222222222222,0.0,1.0,0.3333333333333333,0.6111111111111112
5928,What are the observed effects or phenotypes associated with the subtype of hereditary papillary renal cell carcinoma?,4,0,4,0.0,0.0,0.0,0.0,0.0,0.25
8037,Which anatomical structures lack the expression of genes or proteins involved in the interaction with the organization of actin cytoskeleton in postsynaptic terminals?,4,2,2,0.5,0.5,0.0,1.0,0.25,0.5
4259,"Could you identify enzymes that bind metal ions, are active in protein polyubiquitination, and play a role in both Antigen processing through Ubiquitination and Proteasome degradation?",9,1,8,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0909090909090909,0.1111111111111111
3815,What conditions should be included in the differential diagnosis for a patient presenting with a breast carcinoma subtype linked to both invasive ductal carcinoma and cystic hypersecretory carcinoma?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5496,What are the diseases derived from cervical benign epithelial neoplasms?,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
5772,What are the observed effects or phenotypes associated with constrictive pericarditis subtypes?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
10117,Could you identify the biological processes that are involved with or influenced by the gene or protein linked to Distal Sensory Impairment?,9,0,9,0.0,0.0,0.0,0.0,0.0,0.0
5699,"Can you give me a list of drugs that target the FLT4 gene/protein and also suppress inflammation, edema, and angiogenesis?",1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
7152,What are the observed effects or phenotypes associated specifically with the subtype of suppurative uveitis?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
10551,"Which genes encode proteins that interact with both O-Trifluoromethylphenyl Anthranilic Acid and N-(3,5-dibromo-4-hydroxyphenyl)benzamide as ligands?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7224,"Which medication, facilitated by gene or protein interactions with the sarcolemma, exhibits minimal impact on blood gases, respiratory function, and the cardiovascular system?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2287,What diseases are subclassified under secondary malignant neoplasms and have metastatic potential?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
1804,"Please find me genes or proteins linked to pediatric liver cancer, interacting with PAXIP1, highly expressed in lung adenocarcinoma, with a nuclear signal and similarity to GAGE/PAGE proteins.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
1989,"What possible conditions could I have that are linked to or similar to uniparental disomy of chromosome X, particularly if this led to me inheriting two copies of a recessive gene from my mother?",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
4242,Can you recommend medications that treat both eosinophilic pneumonia and a parasitic worm infection?,1,1,0,1.0,1.0,0.0,0.0,0.0833333333333333,1.0
2080,What are the recommended medications for managing BCR-ABL1 positive blast phase CML?,1,1,0,1.0,1.0,0.0,0.0,0.1666666666666666,1.0
3755,What hereditary diseases are associated with the HLA-C gene?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
11152,"Identify common genetic targets of both 3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid and 2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
8732,Please identify the common gene targets that both Hydrocortisone phosphate and Testosterone propionate interact with.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2855,What genetic disorder associated with the PMP22 gene manifests symptoms similar to acute sensory ataxic neuropathy?,1,1,0,1.0,1.0,0.0,0.0,0.1,1.0
8602,Identify common genetic targets modulated by both 2-Methoxyestradiol and Hydrocortisone probutate.,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
10675,What are the observed effects or phenotypes associated with the subtype of gastritis induced by alcohol consumption?,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
3426,"Could you find genes or proteins that bind to integrins, are involved in Syndecan signaling, and play a role in pyloric atresia onset or progression?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7867,Which anatomical structures lack the expression of genes or proteins that play a role in the interaction with the development of the metanephric nephron?,2,1,1,0.5,0.5,0.0,0.0,0.05,0.0
9579,What are the common gene targets associated with both Chromium and Chromous sulfate exposure or interactions?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
4507,Can you assist in identifying a drug used to treat acute myeloid leukemia in adults that may also have Non-Hodgkin lymphoma as a possible side effect?,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
9714,"What condition, characterized by an abrupt neurological deficit stemming from a cerebrovascular disturbance, also serves as a reason to avoid medications prescribed for the treatment of secondary hypopituitarism?",5,4,1,0.8,0.8,1.0,1.0,1.0,0.8
5318,Can you give me a list of drugs used for respiratory infections that are also researched in treating both kinds of Tuberculosis and Community Acquired Pneumonia in clinical trials?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
5883,Identify diseases that lack associated therapeutic drugs and are correlated with elevated levels of circulating surfactant proteins.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
8814,What are the characteristic symptoms or manifestations observed in patients with the epidemic subtype of keratoconjunctivitis?,9,9,0,1.0,1.0,1.0,1.0,1.0,1.0
3632,Please find genes and proteins involved in Glucocorticoid biosynthesis that also functionally interact with steroid binding.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
7523,"Could you provide a list of medications that not only interact synergistically with Cefalotin but are also prescribed for treating the same conditions, and possess a prolonged half-life, approximately 20 hours, for extended efficacy in conjunction with Cefalotin?",3,1,2,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.3333333333333333
1118,Could you share a list of neurodegenerative conditions related to cerebral folate transport issues or diseases tied to isolated familial vitamin E deficiencies?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2236,Could you find any drugs that target the CHRNA3 receptor and have a half-life ranging from 1 to 16 days?,2,2,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
8757,"Which gene or protein, believed to play a role in inhibiting the canonical Wnt signaling pathway, is undetectable in both the small intestine and tonsil tissues?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
10518,Which genes or proteins are present in the gallbladder but not expressed in the metanephric glomerulus?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
10726,"Which gene or protein, characterized by the presence of seven immunoglobulin domains and playing a role in cell adhesion, also engages in interaction with the gene or protein responsible for the Recycling of eIF2:GDP?",3,0,3,0.0,0.0,0.0,0.0,0.0,0.0
4052,Can you identify any drugs in our database that target the JAK1 gene with a selectivity that is at least tenfold more potent against JAK1 compared to JAK2?,1,1,0,1.0,1.0,0.0,0.0,0.1666666666666666,1.0
7320,"Can you provide a list of long-acting beta-2 agonists that, when combined with Oxitropium, demonstrate a synergistic effect in the treatment of bronchospasm for a condition both medications are prescribed for?",3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
10929,Find health conditions linked to the HSP90AA1 protein that should not be treated with Dihydrocodeine.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2748,"What diseases are associated with NUDT15 gene mutations, and how do these links affect disease presentation and treatment efficacy?",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
5215,"What disease is a subtype of glycogen storage disease caused by branching enzyme deficiency, characterized by abnormal glycogen buildup, affecting enzymes involved in glycogen metabolism?",9,1,8,0.1111111111111111,0.1111111111111111,0.0,1.0,0.3333333333333333,0.6666666666666666
2998,Could you recommend any appetite suppressants that are effective for weight control?,14,0,14,0.0,0.0,0.0,0.0,0.0,0.7857142857142857
9696,Which anatomical structures lack the expression of genes or proteins that engage in interaction with peptidyl-lysine acetylation processes?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
10383,Which gene or protein is lacking in the tissues of both the lymph node and the heart muscle?,1,1,0,1.0,1.0,0.0,1.0,0.25,1.0
1618,"Please provide a list of genes associated with coding proteins linked to short rib-polydactyly syndrome, covering both the general condition and Majewski type specifically.",14,14,0,1.0,1.0,1.0,1.0,1.0,1.0
9487,"Which cell structures engage with the genetic or proteomic entities affected by the compound N-{2,4-difluoro-3-[(5-pyridin-3-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)carbonyl]phenyl}ethanesulfonamide?",4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
8816,"Which protein, involved in modulating cell signaling networks through the removal of phosphate groups from tyrosine residues of its substrates, also engages with the entity responsible for catalyzing the process of Asparagine N-linked glycosylation?",2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
1844,What diseases could be associated with the MARS1 gene in patients exhibiting symptoms of respiratory insufficiency and liver impairment?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
10405,Search for diseases not treated by any known drugs that are also linked to the symptom of having a flat face.,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
7016,Identify common gene targets associated with both Hydrocortisone cypionate and Ciclesonide.,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
1221,What is the subtype of pediatric liver sarcoma most commonly found in adolescents?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
