query_id,error,traceback
8199,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
11538,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
5835,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
2026,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
3101,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
11157,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
5332,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
1320,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
793,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
5459,'paper',"Traceback (most recent call last):
  File ""/app/BTechProject/parallel_pipeline.py"", line 505, in process_batch
    result = pipeline_worker(
             ^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/parallel_pipeline.py"", line 430, in pipeline_worker
    step5_merge_vss_candidates(query, retriever, kb, config,
  File ""/app/BTechProject/parallel_pipeline.py"", line 270, in step5_merge_vss_candidates
    top_candidates = retriever.get_top_k_nodes(
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 341, in get_top_k_nodes
    score_dict = self.compute_similarities(
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/app/BTechProject/custom_pipeline/vss_retreiver.py"", line 259, in compute_similarities
    similarity = torch.matmul(self.node_emb_dict[node_type], query_emb.T)
                              ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^
KeyError: 'paper'
"
