id,ground_truths,query,original_answers,reranked_answers,hit_at_1,hit_at_5,mrr,recall_at_20
6517,"[56241, 55842, 56174, 56263]",Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,"[56174, 56263, 55842, 56241, 55522, 56436, 55635, 127374, 55725, 126701, 55767, 56032, 55898, 126196, 126060, 127330, 124748, 124643, 124443, 55662]","[56174, 56263, 55842, 56241, 55522, 56436, 55635, 127374, 55725, 126701, 55767, 56032, 55898, 126196, 126060, 127330, 124748, 124643, 124443, 55662]",1.0,1.0,1.0,1.0
9996,[10833],Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,"[61, 2773, 3387, 1403, 704, 13628, 1532, 10833, 13398, 2500, 3225, 652, 9724, 79070, 56752, 6424, 35014, 4348, 3624, 9005]","[61, 2773, 3387, 1403, 704, 13628, 1532, 10833, 13398, 2500, 3225, 652, 9724, 79070, 56752, 6424, 35014, 4348, 3624, 9005]",0.0,0.0,0.125,1.0
3630,[15179],Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,"[14982, 15441, 15570, 14137, 15534, 15099, 15319, 15430, 17318, 15692, 15472, 15835, 15369, 15421, 15454, 14609, 15090, 14893, 14979, 15416]","[14982, 15441, 15570, 14137, 15319, 15099, 15430, 17318, 15472, 15835, 15369, 15421, 15534, 15454, 15692, 15090, 14893, 14979, 15416, 14609]",0.0,0.0,0.0,0.0
10252,"[43, 2140]",Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,"[43, 1641, 13070, 729, 150, 34796, 1687, 22000, 2821, 12380, 33909, 6468, 799, 2036, 9004, 2140, 2447, 57057, 34410, 2050]","[43, 729, 1641, 13070, 150, 34796, 1687, 22000, 2821, 12380, 33909, 6468, 799, 2036, 9004, 2140, 2447, 57057, 34410, 2050]",1.0,1.0,1.0,1.0
5142,[30638],Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,"[38395, 30638, 32617, 38422, 29485, 30770, 38183, 28347, 38445, 29037, 28240, 38184, 30670, 28228, 98440, 36280, 97883, 97789, 28843, 98594]","[38395, 30638, 38183, 29485, 32617, 38422, 30770, 28347, 38445, 29037, 28240, 38184, 30670, 28228, 98440, 36280, 97883, 97789, 28843, 98594]",0.0,1.0,0.5,1.0
1755,[62592],"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.","[47408, 106871, 106670, 47288, 100733, 100813, 45341, 40488, 40864, 106537, 45556, 46256, 106536, 52282, 106870, 48983, 45126, 41134, 50160, 110220]","[47408, 106871, 106670, 100733, 100813, 40488, 45556, 47288, 45341, 40864, 106537, 46256, 106536, 52282, 106870, 48983, 45126, 41134, 50160, 110220]",0.0,0.0,0.0,0.0
5686,[59232],Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,"[59232, 3643, 9934, 11901, 4124, 5861, 11236, 60201, 4272, 3840, 34843, 3902, 8450, 3380, 10348, 2582, 2213, 2995, 5990, 1110]","[59232, 3643, 9934, 11901, 4124, 5861, 11236, 60201, 4272, 3840, 34843, 3902, 8450, 3380, 10348, 2582, 2213, 2995, 5990, 1110]",1.0,1.0,1.0,1.0
7969,"[52067, 53456, 46931, 40628, 103931]",Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,"[103931, 114169, 106170, 52769, 46931, 40445, 52483, 113522, 45553, 104646, 115025, 113756, 104645, 41550, 42246, 53490, 108358, 44148, 100416, 53316]","[103931, 114169, 106170, 52769, 46931, 40445, 52483, 113522, 45553, 115025, 113756, 104646, 104645, 41550, 42246, 108358, 44148, 100416, 53490, 53316]",1.0,1.0,1.0,0.4
6641,[18223],"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?","[4315, 8256, 4999, 7183, 1722, 8974, 7880, 4152, 8192, 12431, 13807, 5292, 8212, 1650, 7474, 34250, 3057, 29, 1618, 5938]","[8256, 4999, 7183, 1722, 34250, 7880, 3057, 4315, 13807, 29, 8974, 1618, 5938, 4152, 8192, 12431, 5292, 8212, 1650, 7474]",0.0,0.0,0.0,0.0
10271,"[14330, 14505, 14508, 14512, 14522, 14141]",Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,"[14503, 21460, 17539, 21531, 21535, 16512, 19644, 21534, 14695, 21537, 15017, 20488, 21538, 21536, 21530, 15394, 21532, 21539, 17774, 16842]","[16842, 21535, 16512, 15017, 21460, 17539, 19644, 21534, 14695, 21537, 14503, 21531, 21538, 21536, 21530, 20488, 15394, 21532, 21539, 17774]",0.0,0.0,0.0,0.0
