query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
2825,"What are some carbocyclic acid, aldehyde, or benzene derivative drugs that enhance the effects of Calcium carbimide and Disulfiram when administered together?",1,1,0,1.0,1.0,0.0,0.0,0.1,1.0
7140,"Which condition, characterized by episodes precipitated by non-allergic stimuli like stress or physical activity, should not be treated with medications prescribed for cytomegalovirus retinitis due to contraindications?",3,3,0,1.0,1.0,0.0,1.0,0.5,1.0
7679,Which cell parts engage in interactions with the genetic or proteomic elements affected by Rilpivirine?,4,4,0,1.0,1.0,0.0,1.0,0.2,0.5
6242,Which investigational compounds are designed to affect genes or proteins associated with UDP-N-acetylgalactosamine diphosphorylase for scientific study?,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
9238,"Which gene or protein is capable of interaction with PTGES3, shares an association with a common disease, and also plays a role in the regulation of oxygen-dependent breakdown of hypoxia-inducible factors?",1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
1396,"Identify genes or proteins that are linked with RNA binding, act as regulators of ribosomal protein gene expression impacting translation, and participate in the Antigen processing pathway via Ubiquitination and Proteasome degradation.",2,2,0,1.0,1.0,0.0,1.0,0.5,1.0
2791,Can you help me find any tablets or capsules that target the FGF1 gene/protein in our drug database?,10,10,0,1.0,1.0,1.0,1.0,1.0,1.0
4453,Can you supply details on drugs that complement Darbepoetin alfa and focus on the HIF1A gene or protein?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1248,What is the gene or protein involved in both the Translesion Synthesis pathway via POLH interaction and the binding to single-stranded DNA as part of the Replication Protein A complex?,3,3,0,1.0,1.0,0.0,0.0,0.1428571428571428,1.0
1109,"What possible diseases could I have that are linked to lymphatic system problems, such as swollen glands, and also associated with facial or neck abnormalities, as seen in syndromes or congenital conditions?",1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
9634,"Identify genes or proteins that interact with NEK10, with both sharing an association with a common disease.",1,1,0,1.0,1.0,0.0,0.0,0.1666666666666666,1.0
2472,"Could you recommend a drug effective against Candida albicans, suitable for treating candidiasis with vaginitis, that also targets the MC1R gene/protein?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
202,"Identify genes and proteins that enable kinase and tRNA binding, and are involved in selenocysteinyl-tRNA(Sec) synthesis and biosynthesis.",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
