id,query,ground_truths,status,entities,relations,results,grounding_candidates,vss_merged_candidates
2905,Can you recommend a high-quality carabiner clip keychain that's around 7 inches long?,"[252580, 678406, 673894, 315207, 803436, 829965, 236432, 236436, 528597, 946647, 789465, 270718, 799551]",IN_PROGRESS,"{""A"": {""type"": [""product""], ""lexical"": {""name"": ""carabiner clip keychain""}, ""semantic"": [""high-quality"", ""around 7 inches long""], ""constant"": false}, ""ANSWER"": {""type"": [""product""], ""lexical"": {}, ""semantic"": [""high-quality carabiner clip keychain"", ""around 7 inches long""], ""constant"": false}}","{('ANSWER', 'A'): ['also_buy', 'also_view']}","{'answer_list': [932499, 868731, 52914, 207316, 699873], 'answer_set': {699873, 52914, 932499, 207316, 868731}, 'ground_truth_set': {252580, 673894, 678406, 315207, 803436, 829965, 236432, 236436, 528597, 946647, 789465, 270718, 799551}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {252580, 673894, 678406, 315207, 803436, 829965, 236432, 236436, 528597, 946647, 789465, 270718, 799551}, 'metrics': {'total_answers': 13, 'retrieved_count': 0, 'missed_count': 13, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 13, 'retrieved_count': 0, 'missed_count': 13, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[932499, 868731, 52914, 207316, 699873]","[932499, 868731, 52914, 207316, 699873, 527898, 812842, 594882, 895326, 561829, 235305, 329989, 533393]"
3863,"Looking for a lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL, with a shipping weight around 6.4 ounces.","[357424, 357427, 239048]",IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""Outerstuff""}, ""semantic"": [""Outerstuff brand""], ""constant"": true}, ""B"": {""type"": [""category""], ""lexical"": {""name"": ""T-shirt""}, ""semantic"": [""youth T-shirt"", ""NHL""], ""constant"": true}, ""C"": {""type"": [""brand"", ""category""], ""lexical"": {""name"": ""NHL""}, ""semantic"": [""NHL""], ""constant"": true}, ""D"": {""type"": [""brand""], ""lexical"": {""name"": ""Boston Bruins""}, ""semantic"": [""Boston Bruins""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""Boston Bruins youth T-shirt""}, ""semantic"": [""lightweight Outerstuff brand Boston Bruins youth T-shirt from the NHL"", ""with a shipping weight around 6.4 ounces""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['has_category'], ('ANSWER', 'C'): ['has_brand', 'has_category'], ('ANSWER', 'D'): ['has_brand']}","{'answer_list': [889242, 853229, 885763, 707775, 822599, 707783, 829729, 728899, 708253, 800543, 624876, 707071, 649033, 708205, 706958, 357427, 357424, 336750, 336731, 325969], 'answer_set': {885763, 706958, 889242, 708253, 800543, 829729, 357424, 357427, 707775, 728899, 822599, 707783, 649033, 325969, 336731, 624876, 853229, 708205, 336750, 707071}, 'ground_truth_set': {357424, 357427, 239048}, 'retrieved_ground_truths': {357424, 357427}, 'missed_ground_truths': {239048}, 'metrics': {'total_answers': 3, 'retrieved_count': 2, 'missed_count': 1, 'recall@50': 0.6666666666666666, 'recall@20': 0.6666666666666666, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0625}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 2, 'missed_count': 1, 'recall@50': 0.6666666666666666, 'recall@20': 0.6666666666666666, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.07692307692307693}}","[889242, 853229, 885763, 707775, 822599, 707783, 829729, 728899, 708253, 800543, 624876, 707071, 649033, 708205, 706958, 357427, 357424, 336750, 336731, 325969]","[889242, 853229, 885763, 707775, 822599, 707783, 829729, 728899, 708253, 800543, 624876, 707071, 357427, 357424, 724624, 202691, 129644, 951034, 300586, 672637]"
4651,What is a good Outlander internal frame camping backpack with multiple internal and external pockets for convenient access to accessories? I'm not particular about the color.,"[329266, 449773]",IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""Outlander""}, ""semantic"": [""Outlander internal frame camping backpack""], ""constant"": true}, ""B"": {""type"": [""category""], ""lexical"": {""name"": ""backpack""}, ""semantic"": [""internal frame camping backpack""], ""constant"": true}, ""C"": {""type"": [""color""], ""lexical"": {}, ""semantic"": [""not particular about the color""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""Outlander internal frame camping backpack""}, ""semantic"": [""Outlander internal frame camping backpack"", ""multiple internal and external pockets"", ""convenient access to accessories""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['has_category'], ('ANSWER', 'C'): ['has_color']}","{'answer_list': [329266, 449773, 817764, 817774, 931220, 871306, 750327, 865946, 950009, 919120, 871298, 766080, 791297, 922844, 582399, 473144, 221428, 10841, 54418, 585930], 'answer_set': {766080, 791297, 871298, 871306, 54418, 931220, 865946, 329266, 473144, 585930, 919120, 10841, 922844, 817764, 449773, 817774, 221428, 750327, 950009, 582399}, 'ground_truth_set': {329266, 449773}, 'retrieved_ground_truths': {329266, 449773}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 2, 'retrieved_count': 2, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 2, 'retrieved_count': 2, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[329266, 449773, 817764, 817774, 931220, 871306, 750327, 865946, 950009, 919120, 871298, 766080, 791297, 922844, 582399, 473144, 221428, 10841, 54418, 585930]","[329266, 449773, 817764, 817774, 931220, 871306, 750327, 865946, 950009, 919120, 871298, 766080, 656785, 449242, 449770, 383870, 12358, 656762, 20030, 353368]"
8633,I'm looking for a swim training snorkel that has a noticeable difference in fit with and without a swimming cap. The one I currently have always needs tape to keep it steady. Any suggestions?,"[123457, 269738, 900107, 577437, 900463, 825269, 91547, 91581]",IN_PROGRESS,"{""A"": {""type"": [""product""], ""lexical"": {""name"": ""swim training snorkel""}, ""semantic"": [""swim training snorkel that has a noticeable difference in fit with and without a swimming cap""], ""constant"": false}, ""B"": {""type"": [""product""], ""lexical"": {""name"": ""swimming cap""}, ""semantic"": [""swimming cap""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {}, ""semantic"": [""swim training snorkel"", ""has a noticeable difference in fit with and without a swimming cap"", ""does not need tape to keep it steady""], ""constant"": false}}","{('ANSWER', 'A'): ['also_buy', 'also_view'], ('ANSWER', 'B'): ['also_buy', 'also_view']}","{'answer_list': [91582, 123457, 916703, 269738, 693194, 875553, 356716, 454605, 18377, 692911, 836426, 562114, 355025, 854601, 355018, 6354, 901727, 853075, 333379, 378966], 'answer_set': {875553, 269738, 692911, 91582, 123457, 562114, 333379, 18377, 693194, 836426, 854601, 454605, 355018, 355025, 6354, 853075, 378966, 901727, 916703, 356716}, 'ground_truth_set': {123457, 269738, 900107, 900463, 825269, 91547, 577437, 91581}, 'retrieved_ground_truths': {123457, 269738}, 'missed_ground_truths': {900107, 900463, 825269, 91547, 577437, 91581}, 'metrics': {'total_answers': 8, 'retrieved_count': 2, 'missed_count': 6, 'recall@50': 0.25, 'recall@20': 0.25, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}, 'vss_merged_metrics': {'total_answers': 8, 'retrieved_count': 5, 'missed_count': 3, 'recall@50': 0.625, 'recall@20': 0.625, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}}","[91582, 123457, 916703, 269738, 693194, 875553, 356716, 454605, 18377, 692911, 836426, 562114, 355025, 854601, 355018, 6354, 901727, 853075, 333379, 378966]","[91582, 123457, 916703, 269738, 693194, 875553, 356716, 454605, 18377, 692911, 836426, 562114, 577437, 650564, 900463, 340814, 644938, 577438, 91581, 178081]"
8973,Can you recommend any UP100 marine hardware suitable for a 25.4mm pipe to use on my boat?,[944753],IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""UP100""}, ""semantic"": [""UP100 marine hardware""], ""constant"": true}, ""B"": {""type"": [""category""], ""lexical"": {""name"": ""marine hardware""}, ""semantic"": [""marine hardware for a 25.4mm pipe""], ""constant"": false}, ""C"": {""type"": [""product""], ""lexical"": {}, ""semantic"": [""suitable for a 25.4mm pipe"", ""to use on my boat""], ""constant"": false}, ""ANSWER"": {""type"": [""product""], ""lexical"": {}, ""semantic"": [""UP100 marine hardware"", ""suitable for a 25.4mm pipe"", ""to use on my boat""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['has_category'], ('ANSWER', 'C'): ['also_buy', 'also_view']}","{'answer_list': [944753, 786549, 786551, 786527, 942455, 943404, 935204, 935189, 806306, 943444, 944845, 945521, 866910, 935827, 935669, 583919, 252347, 739861, 828759, 664885], 'answer_set': {935827, 935189, 739861, 806306, 935204, 943404, 664885, 252347, 944845, 943444, 828759, 866910, 942455, 786527, 583919, 944753, 945521, 786549, 935669, 786551}, 'ground_truth_set': {944753}, 'retrieved_ground_truths': {944753}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 1, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 1.0, 'hit_at_5': 1.0, 'mrr': 1.0}}","[944753, 786549, 786551, 786527, 942455, 943404, 935204, 935189, 806306, 943444, 944845, 945521, 866910, 935827, 935669, 583919, 252347, 739861, 828759, 664885]","[944753, 786549, 786551, 786527, 942455, 943404, 935204, 935189, 806306, 943444, 944845, 945521, 583919, 936234, 218010, 53596, 568509, 53554, 849221, 814667]"
3478,"What are some lightweight running socks suitable for a St. Patrick's Day marathon, weighing around 2.4 ounces for shipping?","[529849, 314219, 660644]",IN_PROGRESS,"{""A"": {""type"": [""category"", ""product""], ""lexical"": {""name"": ""running socks""}, ""semantic"": [""lightweight"", ""for a St. Patrick's Day marathon""], ""constant"": false}, ""B"": {""type"": [""event""], ""lexical"": {""name"": ""St. Patrick's Day marathon""}, ""semantic"": [""St. Patrick's Day marathon""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""lightweight running socks""}, ""semantic"": [""lightweight running socks suitable for a St. Patrick's Day marathon"", ""weighing around 2.4 ounces for shipping""], ""constant"": false}}","{('ANSWER', 'A'): ['also_buy', 'also_view', 'has_category']}","{'answer_list': [386989, 314219, 386992, 518614, 885747, 785611, 762442, 386994, 919261, 386991, 518611, 8200, 594330, 660652, 859811, 797661, 384482, 557548, 866695, 557513], 'answer_set': {866695, 8200, 594330, 859811, 660652, 386989, 386991, 386992, 386994, 557513, 762442, 785611, 518611, 518614, 797661, 919261, 384482, 314219, 557548, 885747}, 'ground_truth_set': {529849, 314219, 660644}, 'retrieved_ground_truths': {314219}, 'missed_ground_truths': {529849, 660644}, 'metrics': {'total_answers': 3, 'retrieved_count': 1, 'missed_count': 2, 'recall@50': 0.3333333333333333, 'recall@20': 0.3333333333333333, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 2, 'missed_count': 1, 'recall@50': 0.6666666666666666, 'recall@20': 0.6666666666666666, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}}","[386989, 314219, 386992, 518614, 885747, 785611, 762442, 386994, 919261, 386991, 518611, 8200, 594330, 660652, 859811, 797661, 384482, 557548, 866695, 557513]","[386989, 314219, 386992, 518614, 885747, 785611, 762442, 386994, 919261, 386991, 518611, 8200, 660652, 594330, 797661, 478693, 897994, 384482, 660644, 859811]"
3370,Where can I find Beyond Yoga leggings for women?,[302282],IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""Beyond Yoga""}, ""semantic"": [""Beyond Yoga""], ""constant"": true}, ""B"": {""type"": [""category""], ""lexical"": {""name"": ""leggings""}, ""semantic"": [""leggings for women""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {}, ""semantic"": [""Beyond Yoga leggings for women""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['has_category']}","{'answer_list': [827256, 565786, 826623, 826629, 494501, 411016, 405818, 577847, 293464, 759471, 187122, 187128, 152215, 716226, 759470, 924448, 932592, 75407, 812804, 675436], 'answer_set': {812804, 826629, 411016, 75407, 152215, 565786, 924448, 494501, 759470, 759471, 577847, 405818, 716226, 827256, 293464, 675436, 932592, 187122, 187128, 826623}, 'ground_truth_set': {302282}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {302282}, 'metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 1, 'retrieved_count': 0, 'missed_count': 1, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}}","[827256, 565786, 826623, 826629, 494501, 411016, 405818, 577847, 293464, 759471, 187122, 187128, 152215, 716226, 759470, 924448, 932592, 75407, 812804, 675436]","[827256, 565786, 826623, 826629, 494501, 411016, 405818, 577847, 293464, 759471, 187122, 187128, 861378, 741686, 716226, 53127, 667088, 759470, 699195, 512682]"
2135,"Can you suggest a CHAMPRO basketball rack that's easy to assemble? I already own the BSN Compact Ball Locker and the Baden Steel rack, so I'm not interested in similar items.","[166137, 202061, 693009]",IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""CHAMPRO""}, ""semantic"": [""CHAMPRO basketball rack""], ""constant"": true}, ""B"": {""type"": [""brand"", ""product""], ""lexical"": {""name"": ""BSN Compact Ball Locker""}, ""semantic"": [""similar items to BSN Compact Ball Locker""], ""constant"": true}, ""C"": {""type"": [""brand"", ""product""], ""lexical"": {""name"": ""Baden Steel rack""}, ""semantic"": [""similar items to Baden Steel rack""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""CHAMPRO basketball rack""}, ""semantic"": [""easy to assemble"", ""not similar to BSN Compact Ball Locker"", ""not similar to Baden Steel rack""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['also_buy'], ('ANSWER', 'C'): ['also_buy']}","{'answer_list': [444679, 202061, 166137, 693009, 337577, 11403, 67695, 23528, 758150, 313997, 604683, 11400, 11417, 289878, 702163, 8540, 877702, 9871, 870226, 397323], 'answer_set': {877702, 758150, 444679, 11400, 11403, 604683, 313997, 397323, 9871, 693009, 11417, 337577, 202061, 870226, 702163, 289878, 8540, 23528, 67695, 166137}, 'ground_truth_set': {166137, 202061, 693009}, 'retrieved_ground_truths': {166137, 202061, 693009}, 'missed_ground_truths': set(), 'metrics': {'total_answers': 3, 'retrieved_count': 3, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 3, 'missed_count': 0, 'recall@50': 1.0, 'recall@20': 1.0, 'hit_at_1': 0.0, 'hit_at_5': 1.0, 'mrr': 0.5}}","[444679, 202061, 166137, 693009, 337577, 11403, 67695, 23528, 758150, 313997, 604683, 11400, 11417, 289878, 702163, 8540, 877702, 9871, 870226, 397323]","[444679, 202061, 166137, 693009, 337577, 11403, 67695, 23528, 758150, 313997, 604683, 11400, 138080, 116240, 905009, 653, 408577, 34035, 746794, 58365]"
291,Can you suggest a digital compass with dual alarms available on Amazon?,"[240258, 8973, 71054, 573981, 34080, 43049, 553897, 338351, 299198, 26828, 4431, 50643, 40663, 600028, 861, 220774, 13034, 679028, 629, 578557]",IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""Amazon""}, ""semantic"": [""available on Amazon""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""digital compass""}, ""semantic"": [""digital compass with dual alarms"", ""available on Amazon""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand']}","{'answer_list': [52449, 291810, 386416, 551992, 551973, 551982, 52394, 386411, 552934, 551969, 558451, 175617, 370274, 371226, 806982, 360695, 248160, 396346, 340162, 94077], 'answer_set': {175617, 371226, 551969, 551973, 52394, 551982, 551992, 396346, 340162, 806982, 248160, 52449, 291810, 370274, 552934, 386411, 386416, 558451, 360695, 94077}, 'ground_truth_set': {240258, 8973, 71054, 573981, 34080, 43049, 553897, 338351, 299198, 26828, 4431, 50643, 40663, 600028, 861, 220774, 13034, 679028, 629, 578557}, 'retrieved_ground_truths': set(), 'missed_ground_truths': {240258, 26828, 8973, 71054, 4431, 50643, 40663, 600028, 573981, 861, 34080, 220774, 43049, 553897, 13034, 338351, 679028, 629, 578557, 299198}, 'metrics': {'total_answers': 20, 'retrieved_count': 0, 'missed_count': 20, 'recall@50': 0.0, 'recall@20': 0.0, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0}, 'vss_merged_metrics': {'total_answers': 20, 'retrieved_count': 5, 'missed_count': 15, 'recall@50': 0.25, 'recall@20': 0.25, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.07692307692307693}}","[52449, 291810, 386416, 551992, 551973, 551982, 52394, 386411, 552934, 551969, 558451, 175617, 370274, 371226, 806982, 360695, 248160, 396346, 340162, 94077]","[52449, 291810, 386416, 551992, 551973, 551982, 52394, 386411, 552934, 551969, 558451, 175617, 4431, 8973, 220774, 338351, 428035, 82745, 861, 362753]"
8215,"What are some lightweight, around 7 ounces, Red Plume men's compression sports shirts suitable for various types of workouts?","[852768, 906924, 854367]",IN_PROGRESS,"{""A"": {""type"": [""brand""], ""lexical"": {""name"": ""Red Plume""}, ""semantic"": [""Red Plume""], ""constant"": true}, ""B"": {""type"": [""color""], ""lexical"": {}, ""semantic"": [""Red""], ""constant"": true}, ""ANSWER"": {""type"": [""product""], ""lexical"": {""name"": ""men's compression sports shirts""}, ""semantic"": [""lightweight"", ""around 7 ounces"", ""Red Plume men's compression sports shirts"", ""suitable for various types of workouts""], ""constant"": false}}","{('ANSWER', 'A'): ['has_brand'], ('ANSWER', 'B'): ['has_color']}","{'answer_list': [854442, 854117, 854076, 854429, 917596, 854430, 854432, 852624, 917586, 852765, 852704, 918556, 854367, 852683, 852762, 852768, 249822, 901582, 867446, 160611], 'answer_set': {852624, 852762, 918556, 852765, 854429, 854430, 854432, 852768, 854442, 854076, 852683, 901582, 917586, 917596, 249822, 854367, 852704, 160611, 854117, 867446}, 'ground_truth_set': {852768, 906924, 854367}, 'retrieved_ground_truths': {852768, 854367}, 'missed_ground_truths': {906924}, 'metrics': {'total_answers': 3, 'retrieved_count': 2, 'missed_count': 1, 'recall@50': 0.6666666666666666, 'recall@20': 0.6666666666666666, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.07692307692307693}, 'vss_merged_metrics': {'total_answers': 3, 'retrieved_count': 1, 'missed_count': 2, 'recall@50': 0.3333333333333333, 'recall@20': 0.3333333333333333, 'hit_at_1': 0.0, 'hit_at_5': 0.0, 'mrr': 0.0625}}","[854442, 854117, 854076, 854429, 917596, 854430, 854432, 852624, 917586, 852765, 852704, 918556, 854367, 852683, 852762, 852768, 249822, 901582, 867446, 160611]","[854442, 854117, 854076, 854429, 917596, 854430, 854432, 852624, 917586, 852765, 852704, 918556, 895065, 852683, 820392, 854367, 895026, 852762, 854904, 852766]"
