id,query,ground_truths,status,deconstructed_facts,step2_entities_response,step3_relation_response,step3_relation_validation_response,entities,initial_symbol_candidates,relations,results
6517,Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,"[56241, 55842, 56174, 56263]",SUCCESS,"Target: The ANSWER is a cell structure.
Fact 1: There is a gene/protein X.
Fact 2: Medication Travoprost influences gene/protein X.
Fact 3: The ANSWER interacts with gene/protein X. 
","{
    ""ANSWER"": {
        ""name"": ""cell structure"",
        ""type"": ""cellular_component"",
        ""information"": ""cell structure that interacts with a gene/protein influenced by the medication Travoprost"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""Travoprost"",
        ""type"": ""drug"",
        ""information"": ""the specific medication that influences the target gene/protein"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""unknown gene/protein X"",
        ""type"": ""gene/protein"",
        ""information"": ""gene/protein that is influenced by the medication Travoprost"",
        ""constant"": false
    }
}","[
  (""ANSWER"", ""B"", ""interacts with""),
  (""A"", ""B"", ""target"")
]","[('ANSWER', 'B', 'interacts with'), ('A', 'B', 'target')]","{""ANSWER"": {""type"": [""cellular_component""], ""lexical"": {""name"": ""cell structure""}, ""semantic"": [""cell structure that interacts with a gene/protein influenced by the medication Travoprost""], ""constant"": false}, ""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Travoprost""}, ""semantic"": [""the specific medication that influences the target gene/protein""], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""unknown gene/protein X""}, ""semantic"": [""gene/protein that is influenced by the medication Travoprost""], ""constant"": false}}",,"{('ANSWER', 'B'): ['interacts with'], ('A', 'B'): ['target']}","{""answer_list"": [56436, 55898, 56377, 56223, 56073, 124435, 125962, 56452, 55927, 56285, 55756, 55776, 56449, 56174, 56263, 56241, 55842, 55522, 55538, 55767], ""ground_truth_set"": ""{56241, 55842, 56174, 56263}"", ""retrieved_ground_truths"": ""{56241, 55842, 56174, 56263}"", ""missed_ground_truths"": ""set()"", ""metrics"": {""total_answers"": 4, ""retrieved_count"": 4, ""missed_count"": 0, ""recall@50"": 1.0, ""recall@20"": 1.0, ""hit_at_1"": 0.0, ""hit_at_5"": 0.0, ""mrr"": 0.07142857142857142}, ""vss_metrics"": {""recall@20_alpha_12"": 0.25, ""recall@20_alpha_13"": 0.25, ""recall@20_alpha_14"": 0.5, ""recall@20_alpha_15"": 0.5, ""recall@20_alpha_16"": 0.75, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 1.0}}"
9996,Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,[10833],SUCCESS,"Target: The ANSWER is a gene/protein.
Fact 1: The ANSWER is expressed in the pericardium.
Fact 2: The ANSWER is not expressed in the dorsal thalamus.
Fact 3: The ANSWER is not expressed in the ventral thalamus. 
","{
    ""ANSWER"": {
        ""name"": ""gene/protein"",
        ""type"": ""gene/protein"",
        ""information"": ""gene/protein expressed only in the pericardium, not the dorsal or ventral thalamus"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""pericardium"",
        ""type"": ""anatomy"",
        ""information"": ""the anatomical location where the ANSWER is expressed"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""dorsal thalamus"",
        ""type"": ""anatomy"",
        ""information"": ""anatomical location where the ANSWER is NOT expressed"",
        ""constant"": true
    },
    ""C"": {
        ""name"": ""ventral thalamus"",
        ""type"": ""anatomy"",
        ""information"": ""anatomical location where the ANSWER is NOT expressed"",
        ""constant"": true
    }
}","[
  (""ANSWER"", ""A"", ""expression present""),
  (""ANSWER"", ""B"", ""expression absent""),
  (""ANSWER"", ""C"", ""expression absent"")
]","[
  ('ANSWER', 'A', 'expression present'),
  ('ANSWER', 'B', 'expression absent'),
  ('ANSWER', 'C', 'expression absent')
]","{""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""gene/protein""}, ""semantic"": [""gene/protein expressed only in the pericardium, not the dorsal or ventral thalamus""], ""constant"": false}, ""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""pericardium""}, ""semantic"": [""the anatomical location where the ANSWER is expressed""], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""dorsal thalamus""}, ""semantic"": [""anatomical location where the ANSWER is NOT expressed""], ""constant"": true}, ""C"": {""type"": [""anatomy""], ""lexical"": {""name"": ""ventral thalamus""}, ""semantic"": [""anatomical location where the ANSWER is NOT expressed""], ""constant"": true}}",,"{('ANSWER', 'A'): ['expression present'], ('ANSWER', 'B'): ['expression absent'], ('ANSWER', 'C'): ['expression absent']}","{""answer_list"": [61, 3387, 2773, 1403, 704, 1532, 2500, 10833, 13628, 3225, 13398, 652, 9724], ""ground_truth_set"": ""{10833}"", ""retrieved_ground_truths"": ""{10833}"", ""missed_ground_truths"": ""set()"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 1, ""missed_count"": 0, ""recall@50"": 1.0, ""recall@20"": 1.0, ""hit_at_1"": 0.0, ""hit_at_5"": 0.0, ""mrr"": 0.125}, ""vss_metrics"": {""recall@20_alpha_12"": 1.0, ""recall@20_alpha_13"": 1.0, ""recall@20_alpha_14"": 1.0, ""recall@20_alpha_15"": 1.0, ""recall@20_alpha_16"": 1.0, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 1.0}}"
3630,Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,[15179],SUCCESS,"Target: The ANSWER is a medication.
Fact 1: The ANSWER treats beriberi.
Fact 2: The ANSWER is safe to use with Zopiclone. 
","{
    ""ANSWER"": {
        ""name"": ""medication"",
        ""type"": ""drug"",
        ""information"": ""medication effective for treating beriberi and safe to use with Zopiclone"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""beriberi"",
        ""type"": ""disease"",
        ""information"": ""the disease the ANSWER treats"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""Zopiclone"",
        ""type"": ""drug"",
        ""information"": ""the other drug the ANSWER is safe to use with"",
        ""constant"": true
    }
} 
","[
  (""ANSWER"", ""A"", ""indication""),
  (""ANSWER"", ""B"", ""synergistic interaction"")
]","[('ANSWER', 'A', 'indication'), ('ANSWER', 'B', 'contraindication')]","{""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""medication""}, ""semantic"": [""medication effective for treating beriberi and safe to use with Zopiclone""], ""constant"": false}, ""A"": {""type"": [""disease""], ""lexical"": {""name"": ""beriberi""}, ""semantic"": [""the disease the ANSWER treats""], ""constant"": true}, ""B"": {""type"": [""drug""], ""lexical"": {""name"": ""Zopiclone""}, ""semantic"": [""the other drug the ANSWER is safe to use with""], ""constant"": true}}",,"{('ANSWER', 'B'): ['contraindication'], ('ANSWER', 'A'): ['indication']}","{""answer_list"": [14880, 20293, 15179, 15885, 20497, 14132, 14706, 14106, 14678, 20320, 20200, 16344, 16347, 15892, 20447, 16341, 14646, 14707, 20438, 20446], ""ground_truth_set"": ""{15179}"", ""retrieved_ground_truths"": ""{15179}"", ""missed_ground_truths"": ""set()"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 1, ""missed_count"": 0, ""recall@50"": 1.0, ""recall@20"": 1.0, ""hit_at_1"": 0.0, ""hit_at_5"": 1.0, ""mrr"": 0.3333333333333333}, ""vss_metrics"": {""recall@20_alpha_12"": 1.0, ""recall@20_alpha_13"": 1.0, ""recall@20_alpha_14"": 1.0, ""recall@20_alpha_15"": 1.0, ""recall@20_alpha_16"": 1.0, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 1.0}}"
10252,Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,"[43, 2140]",SUCCESS,"Target: The ANSWER is a gene/protein.
Fact 1: The ANSWER codes for a regulatory component of PI3K.
Fact 2: The ANSWER engages with elements of the FGFR1c pathway.
Fact 3: The ANSWER engages with elements of the Klotho complex signal transduction pathway. 
","{
    ""ANSWER"": {
        ""name"": ""gene/protein"",
        ""type"": ""gene/protein"",
        ""information"": ""gene/protein that codes for a regulatory component of PI3K and interacts with FGFR1c and Klotho complex signal transduction pathways"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""PI3K"",
        ""type"": ""gene/protein"",
        ""information"": ""the signaling pathway the ANSWER regulates"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""FGFR1c pathway"",
        ""type"": ""pathway"",
        ""information"": ""pathway the ANSWER interacts with"",
        ""constant"": true
    },
    ""C"": {
        ""name"": ""Klotho complex signal transduction pathway"",
        ""type"": ""pathway"",
        ""information"": ""pathway the ANSWER interacts with"",
        ""constant"": true
    }
}","[
  (""ANSWER"", ""B"", ""interacts with""),
  (""ANSWER"", ""C"", ""interacts with"")
]","[('ANSWER', 'B', 'interacts with'), ('ANSWER', 'C', 'interacts with')]","{""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""gene/protein""}, ""semantic"": [""gene/protein that codes for a regulatory component of PI3K and interacts with FGFR1c and Klotho complex signal transduction pathways""], ""constant"": false}, ""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""PI3K""}, ""semantic"": [""the signaling pathway the ANSWER regulates""], ""constant"": true}, ""B"": {""type"": [""pathway""], ""lexical"": {""name"": ""FGFR1c pathway""}, ""semantic"": [""pathway the ANSWER interacts with""], ""constant"": true}, ""C"": {""type"": [""pathway""], ""lexical"": {""name"": ""Klotho complex signal transduction pathway""}, ""semantic"": [""pathway the ANSWER interacts with""], ""constant"": true}}",,"{('ANSWER', 'B'): ['interacts with'], ('ANSWER', 'C'): ['interacts with']}","{""answer_list"": [13070, 43, 1641, 150, 12380, 152, 33909, 2689, 2821, 6468, 1332, 799, 2036, 13271, 9004, 22000, 34796, 1687, 441, 13616], ""ground_truth_set"": ""{43, 2140}"", ""retrieved_ground_truths"": ""{43}"", ""missed_ground_truths"": ""{2140}"", ""metrics"": {""total_answers"": 2, ""retrieved_count"": 1, ""missed_count"": 1, ""recall@50"": 0.5, ""recall@20"": 0.5, ""hit_at_1"": 0.0, ""hit_at_5"": 1.0, ""mrr"": 0.5}, ""vss_metrics"": {""recall@20_alpha_12"": 1.0, ""recall@20_alpha_13"": 1.0, ""recall@20_alpha_14"": 1.0, ""recall@20_alpha_15"": 1.0, ""recall@20_alpha_16"": 1.0, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 0.5}}"
5142,Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,[30638],VSS_FALLBACK,"Target: The ANSWER is an autosomal dominant disease.
Fact 1: The ANSWER is linked to the development of supernumerary breast tissue. 
","{
    ""ANSWER"": {
        ""name"": ""autosomal dominant disease"",
        ""type"": ""disease"",
        ""information"": ""disease linked to the development of supernumerary breast tissue"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""supernumerary breast tissue"",
        ""type"": ""anatomy"",
        ""information"": ""the anatomical feature linked to the target disease"",
        ""constant"": true
    }
}","[
  (""ANSWER"", ""A"", ""linked to"")
]","[('ANSWER', 'A', 'associated with')]","{""ANSWER"": {""type"": [""disease""], ""lexical"": {""name"": ""autosomal dominant disease""}, ""semantic"": [""disease linked to the development of supernumerary breast tissue""], ""constant"": false}, ""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""supernumerary breast tissue""}, ""semantic"": [""the anatomical feature linked to the target disease""], ""constant"": true}}",,"{('ANSWER', 'A'): ['associated with']}","{""answer_list"": [38395, 30638, 32617, 38422, 29485, 30770, 38183, 28347, 38445, 29037, 28240, 38184, 30670, 28228, 98440, 36280, 97883, 97789, 28843, 98594], ""ground_truth_set"": ""{30638}"", ""retrieved_ground_truths"": ""{30638}"", ""missed_ground_truths"": ""set()"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 1, ""missed_count"": 0, ""recall@50"": 1.0, ""recall@20"": 1.0, ""hit_at_1"": 0.0, ""hit_at_5"": 1.0, ""mrr"": 0.5}, ""vss_metrics"": {""recall@20_alpha_12"": 1.0, ""recall@20_alpha_13"": 1.0, ""recall@20_alpha_14"": 1.0, ""recall@20_alpha_15"": 1.0, ""recall@20_alpha_16"": 1.0, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 1.0}}"
1755,"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.",[62592],SUCCESS,"Target: The ANSWER is a metabolic process.
Fact 1: There is a metabolic process X.
Fact 2: Metabolic process X precedes or follows hyaluronan absorption and breakdown.
Fact 3: Metabolic process X is involved in hyaluronan metabolism or signaling cascades. 
","{
    ""ANSWER"": {
        ""name"": ""metabolic process"",
        ""type"": ""biological_process"",
        ""information"": ""metabolic process that either precedes or follows hyaluronan absorption and breakdown and is involved in its metabolism or signaling cascades"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""hyaluronan absorption and breakdown"",
        ""type"": ""biological_process"",
        ""information"": ""the specific metabolic process that the target process precedes or follows"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""unknown metabolic process X"",
        ""type"": ""biological_process"",
        ""information"": ""the target metabolic process"",
        ""constant"": false
    }
}","[
  (""B"", ""A"", ""parent-child""),
  (""B"", ""ANSWER"", ""parent-child"")
]","[('B', 'ANSWER', 'parent-child'), ('B', 'A', 'parent-child')]","{""ANSWER"": {""type"": [""biological_process""], ""lexical"": {""name"": ""metabolic process""}, ""semantic"": [""metabolic process that either precedes or follows hyaluronan absorption and breakdown and is involved in its metabolism or signaling cascades""], ""constant"": false}, ""A"": {""type"": [""biological_process""], ""lexical"": {""name"": ""hyaluronan absorption and breakdown""}, ""semantic"": [""the specific metabolic process that the target process precedes or follows""], ""constant"": true}, ""B"": {""type"": [""biological_process""], ""lexical"": {""name"": ""unknown metabolic process X""}, ""semantic"": [""the target metabolic process""], ""constant"": false}}",,"{('B', 'ANSWER'): ['parent-child'], ('B', 'A'): ['parent-child']}","{""answer_list"": [106870, 45558, 40501, 106669, 40603, 45557, 39936, 39933, 52282, 46593, 47408, 45555, 39949, 49982, 108162, 45556, 41134, 45352, 45343, 45342], ""ground_truth_set"": ""{62592}"", ""retrieved_ground_truths"": ""set()"", ""missed_ground_truths"": ""{62592}"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 0, ""missed_count"": 1, ""recall@50"": 0.0, ""recall@20"": 0.0, ""hit_at_1"": 0.0, ""hit_at_5"": 0.0, ""mrr"": 0.0}, ""vss_metrics"": {""recall@20_alpha_12"": 0.0, ""recall@20_alpha_13"": 0.0, ""recall@20_alpha_14"": 0.0, ""recall@20_alpha_15"": 0.0, ""recall@20_alpha_16"": 0.0, ""recall@20_alpha_17"": 0.0, ""recall@20_alpha_18"": 0.0, ""recall@20_alpha_19"": 0.0, ""recall@20_alpha_20"": 0.0}}"
5686,Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,[59232],VSS_FALLBACK,"Target: The ANSWER is a gene/protein.
Fact 1: The ANSWER binds to clathrin.
Fact 2: The ANSWER interacts with FAT3 protein. 
","{
    ""ANSWER"": {
        ""name"": ""gene/protein"",
        ""type"": ""gene/protein"",
        ""information"": ""gene/protein that binds to clathrin and interacts with FAT3"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""clathrin"",
        ""type"": ""protein"",
        ""information"": ""protein that the ANSWER binds to"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""FAT3 protein"",
        ""type"": ""protein"",
        ""information"": ""protein that the ANSWER interacts with"",
        ""constant"": true
    }
} 
","[
  (""ANSWER"", ""A"", ""binds to""),
  (""ANSWER"", ""B"", ""interacts with"")
]","[('ANSWER', 'B', 'interacts with'), ('ANSWER', 'A', 'interacts with')] 
","{""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""gene/protein""}, ""semantic"": [""gene/protein that binds to clathrin and interacts with FAT3""], ""constant"": false}, ""A"": {""type"": [""protein""], ""lexical"": {""name"": ""clathrin""}, ""semantic"": [""protein that the ANSWER binds to""], ""constant"": true}, ""B"": {""type"": [""protein""], ""lexical"": {""name"": ""FAT3 protein""}, ""semantic"": [""protein that the ANSWER interacts with""], ""constant"": true}}",,"{('ANSWER', 'B'): ['interacts with'], ('ANSWER', 'A'): ['interacts with']}","{""answer_list"": [2582, 59232, 2213, 2995, 5990, 1110, 8703, 7017, 4378, 11933, 58662, 8133, 7115, 4011, 4495, 13665, 2106, 3896, 3655, 9942], ""ground_truth_set"": ""{59232}"", ""retrieved_ground_truths"": ""{59232}"", ""missed_ground_truths"": ""set()"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 1, ""missed_count"": 0, ""recall@50"": 1.0, ""recall@20"": 1.0, ""hit_at_1"": 0.0, ""hit_at_5"": 1.0, ""mrr"": 0.5}, ""vss_metrics"": {""recall@20_alpha_12"": 1.0, ""recall@20_alpha_13"": 1.0, ""recall@20_alpha_14"": 1.0, ""recall@20_alpha_15"": 1.0, ""recall@20_alpha_16"": 1.0, ""recall@20_alpha_17"": 1.0, ""recall@20_alpha_18"": 1.0, ""recall@20_alpha_19"": 1.0, ""recall@20_alpha_20"": 1.0}}"
7969,Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,"[52067, 53456, 46931, 40628, 103931]",VSS_FALLBACK,"Target: The ANSWER is a biological process.
Fact 1: 7-methylguanosine cap hypermethylation interacts with genes or proteins.
Fact 2: The ANSWER interacts with genes or proteins.
Fact 3: The ANSWER has a similar interaction pattern to 7-methylguanosine cap hypermethylation. 


","{
    ""ANSWER"": {
        ""name"": ""biological process"",
        ""type"": ""biological_process"",
        ""information"": ""biological process with a similar interaction pattern to 7-methylguanosine cap hypermethylation with genes/proteins"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""7-methylguanosine cap hypermethylation"",
        ""type"": ""molecular_function"",
        ""information"": ""the specific molecular function with a known interaction pattern with genes/proteins"",
        ""constant"": true
    }
}","[
  (""ANSWER"", ""A"", ""interacts with""),
  (""A"", ""ANSWER"", ""interacts with"")
]","[('A', 'ANSWER', 'interacts with'), ('ANSWER', 'A', 'interacts with')] 
","{""ANSWER"": {""type"": [""biological_process""], ""lexical"": {""name"": ""biological process""}, ""semantic"": [""biological process with a similar interaction pattern to 7-methylguanosine cap hypermethylation with genes/proteins""], ""constant"": false}, ""A"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""7-methylguanosine cap hypermethylation""}, ""semantic"": [""the specific molecular function with a known interaction pattern with genes/proteins""], ""constant"": true}}",,"{('A', 'ANSWER'): ['interacts with']}","{""answer_list"": [103931, 114169, 106170, 52769, 46931, 40445, 52483, 113522, 45553, 104646, 115025, 113756, 104645, 41550, 42246, 53490, 108358, 44148, 100416, 53316], ""ground_truth_set"": ""{52067, 53456, 46931, 40628, 103931}"", ""retrieved_ground_truths"": ""{46931, 103931}"", ""missed_ground_truths"": ""{53456, 52067, 40628}"", ""metrics"": {""total_answers"": 5, ""retrieved_count"": 2, ""missed_count"": 3, ""recall@50"": 0.4, ""recall@20"": 0.4, ""hit_at_1"": 1.0, ""hit_at_5"": 1.0, ""mrr"": 1.0}, ""vss_metrics"": {""recall@20_alpha_12"": 0.4, ""recall@20_alpha_13"": 0.4, ""recall@20_alpha_14"": 0.4, ""recall@20_alpha_15"": 0.4, ""recall@20_alpha_16"": 0.4, ""recall@20_alpha_17"": 0.4, ""recall@20_alpha_18"": 0.4, ""recall@20_alpha_19"": 0.4, ""recall@20_alpha_20"": 0.4}}"
6641,"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?",[18223],VSS_FALLBACK,"Target: The ANSWER is a medication.
Fact 1: The ANSWER acts on genes.
Fact 2: The ANSWER acts on proteins.
Fact 3: Genes and proteins X are involved in the signaling pathways of blood clotting receptors.
Fact 4: Genes and proteins X are associated with protein tyrosine kinase activator activity.
Fact 5: Anticoagulation is important for medical conditions Y. 


","{
    ""ANSWER"": {
        ""name"": ""medication"",
        ""type"": ""drug"",
        ""information"": ""medication that acts on genes and proteins involved in blood clotting receptor signaling pathways"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""blood clotting receptors"",
        ""type"": ""anatomy"",
        ""information"": ""receptors involved in the signaling pathways targeted by the medication"",
        ""constant"": true
    },
    ""B"": {
        ""name"": ""protein tyrosine kinase activator activity"",
        ""type"": ""molecular_function"",
        ""information"": ""molecular function associated with the genes and proteins targeted by the medication"",
        ""constant"": true
    },
    ""C"": {
        ""name"": ""medical conditions Y"",
        ""type"": ""disease"",
        ""information"": ""medical conditions for which anticoagulation is important"",
        ""constant"": true
    }
}","[
  (""ANSWER"", ""A"", ""target""),
  (""ANSWER"", ""B"", ""enzyme""),
  (""A"", ""C"", ""linked to"")
]","[
  ('A', 'C', 'linked to'),
  ('ANSWER', 'B', 'enzyme'),
  ('ANSWER', 'A', 'target')
]","{""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""medication""}, ""semantic"": [""medication that acts on genes and proteins involved in blood clotting receptor signaling pathways""], ""constant"": false}, ""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""blood clotting receptors""}, ""semantic"": [""receptors involved in the signaling pathways targeted by the medication""], ""constant"": true}, ""B"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""protein tyrosine kinase activator activity""}, ""semantic"": [""molecular function associated with the genes and proteins targeted by the medication""], ""constant"": true}, ""C"": {""type"": [""disease""], ""lexical"": {""name"": ""medical conditions Y""}, ""semantic"": [""medical conditions for which anticoagulation is important""], ""constant"": true}}",,"{('A', 'C'): ['linked to'], ('ANSWER', 'B'): ['enzyme'], ('ANSWER', 'A'): ['target']}","{""answer_list"": [19612, 15977, 19613, 17032, 15911, 16831, 19596, 18898, 15976, 14216, 16976, 14771, 20757, 16047, 14341, 16638, 15312, 16018, 15020, 20743], ""ground_truth_set"": ""{18223}"", ""retrieved_ground_truths"": ""set()"", ""missed_ground_truths"": ""{18223}"", ""metrics"": {""total_answers"": 1, ""retrieved_count"": 0, ""missed_count"": 1, ""recall@50"": 0.0, ""recall@20"": 0.0, ""hit_at_1"": 0.0, ""hit_at_5"": 0.0, ""mrr"": 0.0}, ""vss_metrics"": {""recall@20_alpha_12"": 0.0, ""recall@20_alpha_13"": 0.0, ""recall@20_alpha_14"": 0.0, ""recall@20_alpha_15"": 0.0, ""recall@20_alpha_16"": 0.0, ""recall@20_alpha_17"": 0.0, ""recall@20_alpha_18"": 0.0, ""recall@20_alpha_19"": 0.0, ""recall@20_alpha_20"": 0.0}}"
10271,Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,"[14330, 14505, 14508, 14512, 14522, 14141]",VSS_FALLBACK,"Target: The ANSWER is a medication.
Fact 1: The ANSWER shares a gene/protein carrier with Pegaspargase.
Fact 2: The ANSWER is indicated for the treatment of neurological conditions. 
","{
    ""ANSWER"": {
        ""name"": ""medication"",
        ""type"": ""drug"",
        ""information"": ""medication that shares a gene/protein carrier with Pegaspargase and treats neurological conditions"",
        ""constant"": false
    },
    ""A"": {
        ""name"": ""Pegaspargase"",
        ""type"": ""drug"",
        ""information"": ""the known drug that the target medication shares a carrier with"",
        ""constant"": true
    }
} 
","[
  (""ANSWER"", ""A"", ""carrier""),
  (""ANSWER"", ""A"", ""indication"")
]","[('ANSWER', 'A', 'carrier'), ('ANSWER', 'A', 'off-label use')] 
","{""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""medication""}, ""semantic"": [""medication that shares a gene/protein carrier with Pegaspargase and treats neurological conditions""], ""constant"": false}, ""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Pegaspargase""}, ""semantic"": [""the known drug that the target medication shares a carrier with""], ""constant"": true}}",,"{('ANSWER', 'A'): ['off-label use']}","{""answer_list"": [14503, 21460, 17539, 21531, 21535, 16512, 19644, 21534, 14695, 21537, 15017, 20488, 21538, 21536, 21530, 15394, 21532, 21539, 17774, 16842], ""ground_truth_set"": ""{14522, 14505, 14508, 14512, 14330, 14141}"", ""retrieved_ground_truths"": ""set()"", ""missed_ground_truths"": ""{14512, 14330, 14505, 14522, 14508, 14141}"", ""metrics"": {""total_answers"": 6, ""retrieved_count"": 0, ""missed_count"": 6, ""recall@50"": 0.0, ""recall@20"": 0.0, ""hit_at_1"": 0.0, ""hit_at_5"": 0.0, ""mrr"": 0.0}, ""vss_metrics"": {""recall@20_alpha_12"": 0.0, ""recall@20_alpha_13"": 0.0, ""recall@20_alpha_14"": 0.0, ""recall@20_alpha_15"": 0.0, ""recall@20_alpha_16"": 0.0, ""recall@20_alpha_17"": 0.0, ""recall@20_alpha_18"": 0.0, ""recall@20_alpha_19"": 0.0, ""recall@20_alpha_20"": 0.0}}"
