qid,query,answer_ids
6912,"Could you provide information on drugs that interact with genes or proteins linked to signaling adaptor activities by converting disulfides into dithiols, ultimately influencing cell signaling processes?",[16528]
1520,Which conditions feature late femoral head ossification as an initial symptom?,[27246]
488,"What is the name of the rectal cancer subtype characterized primarily by an abundance of mucin, where mucinous deposits compose more than 50% of the tumor and feature invasive malignant glandular cells within the rectal wall?","[96708, 36813]"
5267,"What disease falls under blepharitis that manifests with conjunctival redness, tearing, and sometimes blurry vision easing with frequent blinking, and can also trigger repeated bouts of conjunctivitis or damage the cornea?","[95716, 96943]"
9949,Search for medical conditions that are linked to an intolerance to heat and have no drugs indicated for treatment.,[27241]
1869,What's the best prescription for treating tinea unguium?,"[15296, 14250, 14300, 20562, 20563, 17628]"
5038,"What disease linked to throat infections can arise from eating poorly cooked meats with Bacillus anthracis and shows varying symptom severity depending on how it is contracted, with inhaled forms leading to more severe conditions like septic shock and meningitis?",[95160]
803,What dental pulp disorder continues to support normal dentin production after apical root development is finished?,[98916]
10773,Which anatomical regions do not exhibit gene or protein expression linked to Abdominal obesity?,"[64799, 67302]"
191,"Could you assist in diagnosing my recent balance issues? I'm experiencing a sense of instability when I'm upright, reminiscent of a condition my mother had linked to ENT (ear, nose, throat) issues.",[27838]
11168,Which condition leads to megaloblastic anemia by inducing a deficiency of vitamin B-12 and simultaneously serves as a contraindication for pharmacological treatments typically prescribed for megaloblastic anemia?,"[29820, 35646]"
5050,"What medications can treat sleep apnea, where you briefly stop breathing during sleep?",[17318]
4521,"What is the name of the condition associated with mutations in the ABAT gene, characterized by early-onset epileptic encephalopathy, including seizures, muscle weakness, exaggerated reflexes, and delayed development, often accompanied by rapid growth?",[30227]
3313,"What possible diseases could I have with wart-like bumps on my skin, considering my family history includes urothelial papilloma?","[37368, 37367]"
1605,What is the name of the heart disease associated with the abnormal tricuspid subvalvular apparatus that leads to restricted leaflet motion and regurgitation in the tricuspid valve?,"[98811, 98812]"
7067,"Could you provide me with a list of medications that display synergistic effects when combined with Lemborexant, are prescribed for the same indications, and possess an elimination half-life close to 37 hours? I am interested in exploring alternative treatments compatible with Lemborexant's therapeutic indications that may offer extended efficacy through the prolonged half-life of the secondary drug when co-administered.",[17067]
2973,"What is the condition characterized by inappropriate antidiuretic hormone secretion, coinciding with low blood sodium and high sodium urinary output, typically associated with pituitary gland disorders and potentially linked to tumors?",[83905]
2417,"What disease might be treated with Trihexyphenidyl in patients presenting with localized muscle spasms in limbs or neck, resulting in functional difficulties and possibly accompanied by issues with vision, speech, or swallowing?",[83752]
2608,"What condition is diagnosed with impaired scene recognition yet intact object recognition abilities, according to MONDO taxonomy, similar to agnosia?",[95267]
8485,Which disorders related to ghrelin levels that lead to an inability to regulate substance intake and result in both psychological and physical addiction are ill-advised to treat with Lansoprazole?,[30035]
3166,Could you recommend any treatments to complement Paricalcitol for rickets management that also enhance calcium absorption and mobilization from bones to boost calcium levels?,"[14560, 14561, 17739, 14704]"
2452,What are the precursor and subsequent conditions related to pulmonary blastoma according to the database?,[96125]
4822,Can you recommend a medication compatible with Fleroxacin and Ferric derisomaltose that's safe to take before an MRI scan?,"[21518, 21519]"
2873,"Hello, my son has been diagnosed with familial male-limited precocious puberty, and we're exploring treatment options. It's important that the medication doesn't aggravate his occasional nosebleeds. Also, he's experiencing atypical weight gain, possibly from monogenic obesity, so we need to ensure the treatment is compatible with that condition. Could you provide information on safe and suitable drugs for his case?",[16575]
6293,"Which medications not only exhibit a synergistic effect with Fosinopril for identical medical conditions but also share the mechanism of inhibiting calcium transport to ease arteriolar smooth muscle tension, thereby reducing blood pressure akin to Fosinopril's action?","[14212, 14984, 14731, 15629, 15632, 14869, 15426, 20301, 20307, 14163, 14421, 15580, 14301, 14944, 14946, 20325, 14953, 14959, 15855, 14327]"
1788,What is the name of the glycogen storage disease caused by a lack of glucose-6-phosphatase?,[38647]
856,Can a double uterus condition cause persistent fatigue and weakness?,[98040]
2734,What is the anxiety disorder subtype associated with the NR3C1 gene?,[94658]
4571,"Can you give me an overview of different forms of echinostomiasis, along with the specific pathogens that cause them?",[95181]
7239,"Which key intermediate filament protein, mainly found in mature astrocytes of the peripheral nervous system and responsible for encoding a primary type of intermediate filament, is notably lacking in the decidua tissue?",[1863]
6009,"Which conditions related to TNFAIP3, that should not be treated with Deserpidine, share characteristics with systemic lupus erythematosus, including a spectrum of systemic disturbances, raised erythrocyte sedimentation levels, and the presence of lupus erythematosus cells in blood or bone marrow?","[29182, 33534]"
9953,What are the effects or characteristics observed in individuals with the subtype of Trichomonas cervicitis?,[25721]
4706,"What disease is related to non-purulent otitis media, linked to RSPH4A gene activity, and features middle ear inflammation with a pale yellow exudate?",[95145]
2816,Which illness should avoid Melatonin due to reduced pain perception being a symptom?,[32733]
5639,"Hello, I'm struggling with concentration and staying alert during work or study, which may be related to ADD as suggested by my doctor. I need a medication that aids in focus but is also gentle on the stomach. Can you recommend suitable options?","[15074, 17315, 14148, 15173, 15174, 16855]"
3934,What subtype of anti-GBM disease leads to vital organ dysfunction?,"[38654, 38655]"
6236,Which long-acting prodrug is designed to elevate testosterone levels and utilizes the same gene or protein carrier as stanolone?,"[14476, 14477, 14478]"
805,What are some related conditions to thyroiditis that cause extensive scarring in the thyroid region and impact surrounding tissues?,[95777]
4171,"Which disease is linked to the AIRE gene and presents with sudden severe shock and bilateral adrenal hemorrhage, requiring immediate critical care due to its potentially fatal progression?",[32384]
5446,"What is the pathway that requires the combined action of APEX1, FEN1, PCNA, DNA ligase I, and DNA polymerases and is directly associated with the ""Resolution of AP sites via the multiple-nucleotide patch replacement pathway""?","[127611, 127612, 62903]"
4511,What is the name of a drug indicated for stroke with a molecular weight of 190.24?,[20574]
10450,Find illnesses related to the PLEKHA1 gene that have complications or adverse reactions when treated with Clofedanol.,[33575]
5397,What's the most common neurogenic tumor in the posterior mediastinum associated with schwannomas?,[37495]
3946,"What is the disease associated with the FCGR2C gene that leads to autoimmune destruction of platelets and causes thrombocytopenia with platelet counts under 100,000/microliter, excluding other causes for lowered platelet numbers?",[31511]
5245,"Could you assist in identifying a potential illness I have? My family has a history of genetic peripheral neuropathy, and I've observed atrophy in my thumb muscles along with weakness. I'm also feeling numbness and tingling, primarily in my thumb, index, and middle fingers, which is progressively getting weaker. What might be the underlying condition?",[28831]
