id,ground_truths,query,original_answers,reranked_answers
3881,"[359040, 359043, 774916, 359045, 489480, 359050, 541837, 359056, 207766, 216350, 635429, 359079, 359091, 331064, 638929, 359134, 192102, 489451, 359022, 489471]",Can you recommend a men's short with pockets and a 9-inch inseam that ships within the U.S.?,"[904433, 620990, 600886, 668974, 522277, 421301, 956987, 179529, 535693, 692651, 744340, 908982, 586138, 586159, 668956, 901787, 844242, 517995, 844244, 927340]","[517995, 927340, 901787, 844242, 844244, 904433, 620990, 600886, 522277, 956987, 668974, 179529, 692651, 586138, 744340, 421301, 535693, 908982, 586159, 668956]"
7157,"[578257, 148433, 13329, 39285, 470331, 727229, 915358, 915359]","Can you suggest an easy-to-use trap setter? I had some issues with the previous one I purchased, and now I'm looking for something simple to operate.","[148433, 711042, 13329, 879472, 666181, 189932, 729297, 273918, 705615, 705603, 642099, 252311, 705599, 881929, 190147, 39285, 727229, 578257, 598378, 470331]","[711042, 148433, 729297, 727229, 189932, 705603, 705615, 642099, 881929, 252311, 13329, 879472, 273918, 190147, 578257, 705599, 666181, 39285, 470331, 598378]"
3552,"[558437, 323278, 478487]",Are there any cycling shorts that have a D-lock loop for convenience and also feature stylish front pockets similar to everyday jeans?,"[367282, 370178, 410124, 700789, 367279, 700809, 824913, 410118, 824918, 315250, 410115, 53696, 756117, 450870, 775007, 323278, 384426, 718979, 558437, 431073]","[323278, 367282, 384426, 718979, 558437, 370178, 410124, 700789, 367279, 700809, 824913, 410118, 824918, 315250, 410115, 431073, 53696, 756117, 450870, 775007]"
2609,"[220416, 145249, 253122, 240070, 253126, 253129, 220414, 42324, 145240, 145241, 145242, 145244, 155933, 326078]","Looking for a reliable performance wristband that is favored by global athletes. Ideally, it should be from the Power Balance brand and importantly, it should include a yotta mark code for authenticity verification.","[145244, 253126, 145241, 145240, 145239, 220414, 145249, 253122, 145245, 145242, 300750, 240070, 253129, 300744, 319646, 323680, 220416, 321594, 321583, 254801]","[145244, 253126, 220414, 145249, 253122, 145242, 145241, 145240, 240070, 253129, 220416, 145239, 145245, 300750, 300744, 319646, 323680, 321594, 321583, 254801]"
873,[29331],Can you help me find a JBL manufactured spear gun shaft?,"[29331, 365719, 316640, 1627, 282574, 365722, 811589, 29315, 1612, 286153, 47234, 292442, 787825, 47230, 104862, 29318, 21999, 158026, 288341, 506933]","[29331, 365719, 316640, 282574, 365722, 1627, 811589, 292442, 29315, 47234, 787825, 1612, 286153, 47230, 104862, 29318, 21999, 158026, 288341, 506933]"
2261,[180803],Looking for an easy to store and transport UCLA tent with at least 6 feet in height clearance. Can you help?,"[845421, 813514, 69466, 126602, 924629, 465927, 881196, 765297, 727215, 480815, 742955, 818501, 521594, 411513, 561133, 180803, 542236, 381458, 96269, 306366]","[180803, 845421, 69466, 924629, 881196, 727215, 480815, 742955, 542236, 381458, 813514, 126602, 465927, 765297, 818501, 521594, 411513, 561133, 96269, 306366]"
7335,"[749276, 749350, 749279]",Looking for a women's long-sleeved NFL hoodie that is 100% cotton. Want one featuring team colors striped on the sleeves and an oversized distressed logo and team name on the chest.,"[128722, 378292, 225619, 225596, 274559, 55775, 22419, 44484, 225622, 225617, 325108, 110877, 114445, 897104, 21871, 699368, 225653, 225597, 611485, 225589]","[128722, 378292, 225619, 225596, 274559, 55775, 22419, 44484, 225622, 225617, 325108, 110877, 114445, 897104, 21871, 699368, 225653, 225597, 611485, 225589]"
4650,"[449689, 670662]",Can you suggest a sporty quartz wristwatch for men with model number AS8058TTG? I need it to come with a protection plan that can be emailed to me within 2 days.,"[449687, 449689, 449685, 357794, 328299, 328300, 28005, 935966, 902109, 395458, 195972, 87484, 225110, 291931, 87865, 61911, 178074, 533398, 19576, 178075]","[449689, 449687, 449685, 328300, 28005, 935966, 902109, 395458, 195972, 87484, 225110, 328299, 357794, 291931, 87865, 61911, 178074, 533398, 19576, 178075]"
1320,"[16145, 531908, 168773, 77670]",Can you help me find a comfortable shoulder bag with around an 8.5-inch drop and a cushioned bottom for added protection of items?,"[538722, 504897, 113876, 76957, 186765, 385991, 725752, 725754, 317893, 318300, 909070, 606096, 940916, 194786, 211951, 755357, 491172, 632681, 867436, 906480]","[504897, 113876, 186765, 725752, 317893, 606096, 211951, 909070, 491172, 755357, 318300, 940916, 632681, 867436, 906480, 538722, 76957, 385991, 725754, 194786]"
6206,[616593],Will the Player's Choice OUTDOOR Inline Skate Wheels 76MM 89a BLACK x8 W/ABEC 9 BEARINGS and Rollerblade 8mm Core axles I've added to my cart be compatible with OUTDOOR Inline Skate Wheels designed for a 608 bearing hub?,"[616587, 616602, 615405, 616003, 157470, 616593, 616588, 340873, 715205, 946295, 217938, 946300, 560028, 720554, 470444, 616584, 616597, 232979, 616583, 159310]","[616587, 615405, 616593, 616602, 616003, 157470, 616588, 946295, 715205, 217938, 946300, 560028, 616584, 340873, 720554, 470444, 616597, 232979, 616583, 159310]"
