query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
11019,Publications from Shantilal Shah Engineering College on the impact of oxygen pressure in Physics research,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
646,"Search for publications in the field of study encompassing black holes intersected by cosmic strings, co-authored by anyone involved in the paper titled ""Critical escape velocity for a charged particle moving around a weakly magnetized Schwarzschild black hole"".",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4590,Did St. Cloud State University produce any research in 2015 concentrating on protonium formation reactions within the Bound state field?,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
734,Does any research from Cégep de l'Outaouais explore novel imaging techniques in Optics?,5,5,0,1.0,1.0,0.0,0.0,0.09090909090909091,0.6
11238,Publications from Institut national des sciences appliquées de Rennes researchers on quantum dot laser modulation characteristics.,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0
9995,Are there any publications from École nationale supérieure de mécanique et d'aérotechnique on the topic of electrical properties of contacts on silicon carbide?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
6535,"Can you show me papers from the co-authors of ""Responsivity-Bandwidth Limit of Avalanche Photodiodes: Toward Future Ethernet Systems"" that focus on design enhancements or changes related to avalanche photodiodes?",8,8,0,1.0,1.0,1.0,1.0,1.0,0.5
10441,Are there any 2011 research papers from the Asian Institute of Technology presenting GPS TEC data in the area of Total Electron Content?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
12883,"Are there any papers, sharing a coauthor with ""Searching for Beyond the Standard Model Physics with COHERENT Energy and Timing Data"", within a matching subject area that also discuss the recently identified Milky Way satellite Eridanus II?",8,0,8,0.0,0.0,0.0,0.0,0.0,0.0
9519,"Are there any publications from the International Computer Science Institute on the topic of Solar cells, which use visualization techniques to analyse convolutional neural networks trained on wafer images?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
2552,"Are there any papers by the co-authors of ""Designing of a polarization beam splitter for the wavelength of 1310 nm on dual-core photonic crystal fiber with high birefringence and double-zero dispersion"" that delve further into advancements in photonic crystal fiber technology?",9,1,8,0.1111111111111111,0.1111111111111111,0.0,0.0,0.09090909090909091,0.2222222222222222
6726,Could you list publications detailing the designs of Chinese solar telescopes used for observing the Sun?,2,2,0,1.0,1.0,0.0,0.0,0.125,1.0
5459,"Are there any research articles linked to Hanyang University that focus on Inductance, particularly introducing circuit coupling to Particle-In-Cell simulations?",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
3620,"Can you find other publications from the co-authors of ""Ultrasmooth metallic films with buried nanostructures for backside reflection-mode plasmonic biosensing"" that delve into the application of high-speed imaging for observing surface-enhanced Raman scattering fluctuations?",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
12251,"What are some articles investigating the link between photon scattering and entanglement that are referenced in the study ""Quantum versus classical effects in two-photon speckle patterns""?",2,2,0,1.0,1.0,0.0,0.0,0.07142857142857142,0.5
11695,"What are the papers mentioned in ""Setting a new standard in the analysis of binary stars: progress and challenges,"" which also discuss the recent discovery of new circumbinary planets after its publication?",6,6,0,1.0,1.0,1.0,1.0,1.0,1.0
238,Show me research articles about Molecular Fingerprint involving the investigation of waveform-stable pulses.,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
9596,Which publications from the Silicon Institute of Technology's researchers have computations on radioactive half-lives?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
8491,Show me publications by Spiros Margetis investigating the relationship between baryon-strangeness correlations and collision energy.,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
7083,"Are there any studies that explore the impact of alloying on the number of citations for the research paper entitled ""Electronic, magnetic and thermal properties of Co2CrxFe1−xX (X=Al, Si) Heusler alloys: First-principles calculations""?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
11704,Could you find some papers related to the Toroidal moment demonstrating a higher frequency toroidal moment?,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
10072,"Search for papers with shared authorship with ""Calculation and Analysis of Rotor Eddy Current Loss of Permanent Magnet-Inductor Hybrid Excited Synchronous Generator"", related to the study of axial flux permanent magnet machines, and that specifically analyze three stator structures for axial field flux-switching permanent magnet machines.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4537,"Could you find the papers authored by the coauthors of ""Intensity Noise in Ultra-High Frequency Modulated Semiconductor Laser with Strong Feedback and its Influence on Noise Figure of ROF Links"" that also discuss significant angular dispersion?",8,8,0,1.0,1.0,1.0,1.0,1.0,0.875
2226,Are there any papers from Sun Yat-sen University of Medical Sciences researchers that analyze the use of Raman spectroscopy in diagnosing nasopharyngeal carcinoma?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4706,Are there any research publications from Eastern Washington University that examine hydrogen bonding nuances in frustrated magnetic substances with a specific focus on Rotational symmetry?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
9123,Banwarilal Bhalotia College author publications on new nanomaterial coating methods,1,1,0,1.0,1.0,0.0,0.0,0.07692307692307693,1.0
8889,Are there any studies or papers from M/A-COM Technology Solutions on the integration of lasers into silicon?,1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
12958,Could you show me some papers exploring the relationship between sodium layers and meteor showers in the context of meteor shower studies?,2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
4652,Show me papers authored by Higher Technological Institute researchers on the topic of soliton wave solutions.,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
7577,"What other astronomy instrumentation papers have referenced or been inspired by the ""FRIDA, the diffraction limited NIR imager and IFS for the Gran Telescopio Canarias: status report"" study?",4,4,0,1.0,1.0,1.0,1.0,1.0,1.0
3650,"I'm looking for papers with at least one shared co-author with ""A wideband electro-optic modulator based on long range surface plasmon resonances"". Ideally, these papers will also belong to the sphere of plasmonics or integrated photonics. I'm particularly interested in works that showcase photonic microwave up-conversion via long range surface plasmon resonances, similar to continuous wave laser modulation.",10,0,10,0.0,0.0,0.0,0.0,0.0,0.0
4821,"Search for papers with a common author to ""Fast separation of two trapped ions"", that are also within the same research domain, and discuss a methodology for examining trapped ions or akin quantum systems.",9,0,9,0.0,0.0,0.0,0.0,0.0,0.0
5311,"Can I find papers outlining initial ion beam commissioning results that are referenced in ""Installation and first operation of the International Fusion Materials Irradiation Facility injector at the Rokkasho site""?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
9557,"Are there any papers with shared authors from ""Infrared Spectral Mapping of Supernova Remnants. I. N63A and Its Environment"", that similarly investigate supernova remnants in the Large Magellanic Cloud as their principal area of study?",6,3,3,0.5,0.5,1.0,1.0,1.0,0.5
