id,query,entities,relations
8477,Which gene or protein is consistently non-expressed or missing in the adult mammalian renal system as well as the mammalian vulvar tissue?,"{""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""adult mammalian renal system""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""mammalian vulvar tissue""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""consistently non-expressed or missing in the adult mammalian renal system"", ""consistently non-expressed or missing in the mammalian vulvar tissue""], ""constant"": false}}","{('A', 'ANSWER'): ['expression absent'], ('B', 'ANSWER'): ['expression absent']}"
933,What drugs are known to primarily target the DCPS gene/protein in their mechanism of action?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""DCPS""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {}, ""semantic"": [""primarily target the DCPS gene/protein"", ""in their mechanism of action""], ""constant"": false}}",{}
5152,What signaling pathway is connected to the 'Neuronal System' pathway and controls the stability of neurons' resting membrane potential?,"{""A"": {""type"": [""pathway""], ""lexical"": {""name"": ""Neuronal System""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""pathway""], ""lexical"": {}, ""semantic"": [""connected to the 'Neuronal System' pathway"", ""controls the stability of neurons' resting membrane potential""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'parent-child', 'linked to']}"
4996,Which condition involves a posterior polar cataract in its symptoms and is linked to the ITM2B gene?,"{""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""posterior polar cataract""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""ITM2B""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""involves a posterior polar cataract in its symptoms"", ""linked to the ITM2B gene""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with'], ('B', 'ANSWER'): ['associated with', 'linked to']}"
9516,Which liver-expressed transporter gene or protein is involved in organic ion translocation and facilitates the movement of drugs that exhibit synergistic effects with 1-Testosterone?,"{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""1-Testosterone""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""synergistic effects with 1-Testosterone""], ""constant"": false}, ""C"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""organic ion translocation""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""liver-expressed transporter"", ""involved in organic ion translocation"", ""facilitates the movement of drugs that exhibit synergistic effects with 1-Testosterone""], ""constant"": false}}","{('A', 'B'): ['synergistic interaction', 'side effect'], ('A', 'ANSWER'): ['interacts with'], ('B', 'ANSWER'): ['associated with', 'phenotype present'], ('C', 'ANSWER'): ['interacts with'], ('A', 'C'): [], ('B', 'C'): [], ('ANSWER', 'C'): ['interacts with']}"
5631,"What genes or proteins interact with the tubulin C-terminal post-translational modification pathway, bind to tubulin, and exhibit tubulin-glutamic acid ligase activity?","{""A"": {""type"": [""pathway""], ""lexical"": {""name"": ""tubulin C-terminal post-translational modification pathway""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""tubulin""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""tubulin-glutamic acid ligase activity""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""interact with the tubulin C-terminal post-translational modification pathway"", ""bind to tubulin"", ""exhibit tubulin-glutamic acid ligase activity""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with'], ('B', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('C', 'ANSWER'): ['interacts with']}"
7313,"Identify genes or proteins that (1) engage in interaction with TBK1, (2) are linked to the same pathology as TBK1, and (3) are capable of interacting with protein kinase B alpha (AKT1).","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""TBK1""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""AKT1""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""same pathology as TBK1""], ""constant"": false}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""engage in interaction with TBK1"", ""linked to the same pathology as TBK1"", ""capable of interacting with protein kinase B alpha (AKT1)""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('A', 'C'): ['associated with', 'linked to'], ('B', 'ANSWER'): ['interacts with', 'ppi'], ('C', 'ANSWER'): ['associated with', 'linked to']}"
8753,Are there any pharmacological agents that act as electron donors in metabolic processes through reversible oxidation and reduction and influence genes or proteins associated with L-aminoadipate-semialdehyde dehydrogenase enzymatic function?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""L-aminoadipate-semialdehyde dehydrogenase""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""molecular_function""], ""lexical"": {}, ""semantic"": [""electron donors in metabolic processes"", ""reversible oxidation and reduction""], ""constant"": false}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""pharmacological agents""}, ""semantic"": [""act as electron donors in metabolic processes through reversible oxidation and reduction"", ""influence genes or proteins associated with L-aminoadipate-semialdehyde dehydrogenase enzymatic function""], ""constant"": false}}","{('A', 'B'): ['interacts with'], ('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('ANSWER', 'B'): ['interacts with']}"
6117,"Could you identify the common genetic targets for both N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid and (2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid?","{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""drug""], ""lexical"": {""name"": ""(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""common genetic targets for both N-(M-Trifluoromethylphenyl) Phenoxazine-4,6-Dicarboxylic Acid and (2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid""], ""constant"": false}}","{('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('B', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('A', 'B'): ['synergistic interaction']}"
5285,"Please find genes or proteins with structural molecular activity linked to the basal body-plasma membrane anchoring pathway, particularly those interacting with NPHP1, suggesting involvement in a common signaling pathway.","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""NPHP1""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""pathway""], ""lexical"": {""name"": ""basal body-plasma membrane anchoring pathway""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""structural molecular activity""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""linked to the basal body-plasma membrane anchoring pathway"", ""interacting with NPHP1"", ""suggesting involvement in a common signaling pathway""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('B', 'ANSWER'): ['linked to'], ('C', 'ANSWER'): ['interacts with'], ('A', 'B'): ['interacts with']}"
