query_id,query_text,total_answers,retrieved_count,missed_count,recall@50,recall@20,hit@1,hit@5,mrr,recall@20_vss_merged
1872,I'm looking for a new flag pole clip that's compatible with the Taylor Made Products 57926 Charlevoix Boat Flag Clip I recently purchased. Can you help me maintain order with this?,1,1,0,1.0,1.0,0.0,0.0,0.1,1.0
2638,"Does Amazon carry Golf Pride's wrap style golf grips, specifically something similar to their Full Cord Grips series?",2,2,0,1.0,1.0,1.0,1.0,1.0,1.0
8187,"What would be a good complementary golf ball pack to gift alongside the Titleist Pro V1 2015 AAAAA Recycled Like New Golf Balls, 24-Pack, Latest Version for a golf lover?",9,3,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.125,0.3333333333333333
4225,"Looking for a yarmulke featuring a team logo that is made from polyester mesh with a cotton lining. Preferably, I want one that is made in the USA. Can you assist?",2,0,2,0.0,0.0,0.0,0.0,0.0,1.0
2154,"Looking for a lightweight youth baseball bat, approximately 15 oz, with a handle designed for rapid swings. Color is not a factor in my search.",2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
7715,Looking for a realistic shrimp-mimicking fishing lure with Eagle Claw Lazer Sharp hooks. Any suggestions?,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0
488,Is there a Star Line Baton Co. baton case that matches its advertised image and comes with an included strap so I don't have to purchase it separately?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
8738,"Can you help me find a Vortex Optics riflescope that is versatile, has high resolution, vivid color fidelity and uses extra-low dispersion glass?",7,1,6,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0555555555555555,0.2857142857142857
8928,"Looking for a trampoline similar to the Blossomz' Skywalker Bounce-N-Learn Trampoline, that includes safety features such as rail padding and a netted enclosure, with a width of approximately 55 inches. This is meant to complement the existing trampoline that my kids really enjoy.",10,8,2,0.8,0.8,0.0,0.0,0.125,0.5
464,"What back support belt for weightlifting is commonly bought with the Wrist Wraps + Lifting Straps Bundle and the Valeo VA4688SM Lifting Belt? It doesn't have to be top of the line, just something often paired with these products.",1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333,1.0
4022,"Where can I find a martial arts medallion necklace, about 1.5 inches in diameter, suitable for daily wear? Chain length is not a concern.",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
6973,What are some comfortable Champion men's athletic shorts suitable for a hot and humid climate?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.5
518,"Can you suggest a 26-inch mountain bike with a sports saddle seat, specifically designed for women?",9,3,6,0.3333333333333333,0.3333333333333333,0.0,1.0,0.25,0.3333333333333333
3315,Can you help me find a Ping golf hat clip with practical ball markers?,1,1,0,1.0,1.0,0.0,1.0,0.5,1.0
175,Are there any good alternatives to the South Bend Removable Split Shot Sinker for fishing sinkers that stay in place on my line?,2,1,1,0.5,0.5,0.0,0.0,0.0909090909090909,0.5
1949,Is Crosman a reputable brand for BB ammo that you would recommend?,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
756,Does Pro-Tec manufacture skate knee pads with a 1-year warranty that are also machine washable for easy cleaning?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
3687,"Can you recommend a versatile ASU laptop bag suitable for academics, travel, and work, with plenty of compartments for accessories?",11,2,9,0.1818181818181818,0.1818181818181818,1.0,1.0,1.0,0.2727272727272727
5576,"Looking for recommendations for a slim, warm men's jacket that pairs well with my Spyder Men's Outbound Half-Zip Sweatshirt. Any suggestions?",8,8,0,1.0,1.0,0.0,1.0,0.25,0.875
2548,"Can you help me find a men's jacket with a unique logo at the back of the neck, set-in sleeves, and made entirely of polyester doeskin?",4,1,3,0.25,0.25,0.0,0.0,0.0666666666666666,0.25
1256,"As a seasoned kneeboarder, I'm on the lookout for a top-notch marine kneeboard boasting a 3-inch padded Shock Strap and a parabolic design. It would be great to have a strong board equipped with retractable fins for improved agility. It would also be a plus if it included a HydroHook tow feature. Can you recommend any such product?",5,2,3,0.4,0.4,1.0,1.0,1.0,0.6
6418,Looking for recommendations on a Terramar men's pullover jacket that would be ideal for layering.,17,15,2,0.8823529411764706,0.8823529411764706,1.0,1.0,1.0,0.7647058823529411
514,What tennis string set can I try that feels like the classic synthetic gut but has new features such as enhanced stringbed responsiveness?,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
166,Can you suggest an Australian saddle with a rawhide braided horn suitable for a quarterhorse with a wider tree?,2,1,1,0.5,0.5,0.0,0.0,0.1428571428571428,1.0
6604,"Is there an adjustable, comfortable cotton twill cap available that commemorates the San Francisco Giants' 2014 World Series victory?",8,0,8,0.0,0.0,0.0,0.0,0.0,0.0
3525,"Looking for large basketball crew socks similar to Nike Lebron Elite Basketball Crew Socks, suitable for someone with sensory issues. Any recommendations?",1,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1899,"Looking for a Flair Hair novelty visor that's both hilarious and easy to maintain. It should be fun to wear at concerts and festivals, but not uncomfortable.",2,2,0,1.0,1.0,0.0,1.0,0.5,1.0
4166,"Can you find me a top-rated bike trailer that's easy to assemble, has a sturdy parking brake, and ideally comes with a water-resistant all-weather cover?",13,0,13,0.0,0.0,0.0,0.0,0.0,0.0769230769230769
3122,What other swimming goggles can I pair with my Arena Cobra Ultra Swim Goggles for indoor swimming? I need to find an alternative as the current pair isn't meeting my needs. Any recommendations?,3,3,0,1.0,1.0,1.0,1.0,1.0,1.0
5800,Looking for high-end PU material boxing gloves with a comfortable fit and excellent performance. Should they also have triple density foam for optimal shock absorption?,9,0,9,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
3211,Are there any all-mountain Blue House skis known for their exceptional turning capability?,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
161,Are there any javelins designed by elite athletes that meet the 2006 NFHS & IAAF standards?,4,0,4,0.0,0.0,0.0,0.0,0.0,0.5
1330,Is there a Health Hoop hula hoop that is suitable for both adults and children?,6,6,0,1.0,1.0,1.0,1.0,1.0,1.0
265,What's a good medium-sized camouflage rucksack suitable for hiking and camping activities?,8,0,8,0.0,0.0,0.0,0.0,0.0,0.125
2590,"Looking for Simms fishing shoes that are completely waterproof and suitable for party wear. They must have a bigger toe box, as I had issues with tight toe areas in the past.",1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
4664,"Are there any easy-to-use EWG weighted fishing hooks that are suitable for both experienced and beginner anglers? Ideally, they should come in a pack of 5.",6,0,6,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2099,"Can you help me find a retro-styled handbag with an MLB team theme, made from sporty, perforated PVC fabric?",10,0,10,0.0,0.0,0.0,0.0,0.0,0.4
402,Is there a gun lubricant similar to the Slip 2000 Gun Lube 16oz. Trigger Spray that also performs well in various environments?,14,10,4,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.7857142857142857
